策略,持有期(交易日),交易次数,胜率%,平均收益%,中位数收益%,累计净值,最大回撤%,数据补齐占比%
三周期共振偏弱(均<50),1,53,62.3,1.86,0.94,1.0812,-1.05,0.0
三周期共振偏弱(均<50),2,50,72.0,3.05,2.03,1.1495,,0.0
三周期共振偏弱(均<50),3,47,76.6,4.25,3.32,1.1712,,0.0
三周期共振偏弱(均<50),5,41,75.6,4.5,3.03,1.1398,,0.0
三周期共振偏弱(均<50),10,26,92.3,9.32,7.91,1.1928,,0.0
三周期共振偏强(均>50),1,36,27.8,-0.08,0.0,1.0073,-2.66,0.0
三周期共振偏强(均>50),2,33,27.3,0.17,0.0,1.0633,,0.0
三周期共振偏强(均>50),3,30,33.3,0.43,0.0,1.0885,,0.0
三周期共振偏强(均>50),5,22,45.5,0.71,0.0,1.0912,,0.0
三周期共振偏强(均>50),10,7,14.3,-1.39,-1.69,0.9678,,0.0
三周期共振超买(均>80),1,8,37.5,-0.16,0.0,0.9986,-1.22,0.0
三周期共振超买(均>80),2,7,28.6,-0.04,0.0,1.0096,,0.0
三周期共振超买(均>80),3,6,50.0,-0.04,0.55,1.0042,,0.0
三周期共振超买(均>80),5,4,50.0,-0.06,0.55,1.0042,,0.0
全样本(基准),1,673,45.8,0.58,0.0,1.0649,-1.1,0.9
全样本(基准),2,611,52.0,1.2,0.67,1.1246,,1.0
全样本(基准),3,549,57.0,1.49,0.88,1.141,,1.1
全样本(基准),5,427,60.0,2.02,1.18,1.1491,,1.4
全样本(基准),10,122,73.8,6.02,5.62,1.124,,1.6
分化-日低周高,1,121,30.6,0.24,0.0,1.0216,-0.34,0.8
分化-日低周高,2,104,32.7,0.32,0.0,1.0308,,1.0
分化-日低周高,3,85,29.4,0.2,0.0,1.0142,,1.2
分化-日低周高,5,63,22.2,-0.01,0.0,1.0431,,1.6
分化-日低周高,10,9,44.4,1.46,-0.63,1.0595,,0.0
分化-日高周低,1,323,59.1,0.9,0.88,1.111,-0.96,0.9
分化-日高周低,2,296,66.2,1.72,1.44,1.2063,,1.0
分化-日高周低,3,264,74.2,2.08,1.72,1.2296,,1.5
分化-日高周低,5,200,78.5,2.75,2.18,1.2437,,1.5
分化-日高周低,10,38,94.7,7.06,6.57,1.1471,,2.6
