市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
ETF,2026-07-31,159201,自由现金流ETF华夏,26,1,1.19,1.17,-1.68,1,False,98.07,79.26,11.78,,,,,全样本(基准)
ETF,2026-07-31,159206,卫星ETF永赢,38,1,1.25,1.33,6.4,1,False,41.03,1.47,14.25,,,,,全样本(基准)
ETF,2026-07-31,159263,价值ETF易方达,52,1,1.17,1.15,-1.71,1,False,93.95,104.52,47.21,,,,,全样本(基准)
ETF,2026-07-31,159307,红利低波100ETF博时,49,1,1.06,1.05,-0.94,1,False,97.11,104.8,48.95,8.9,85.34,,,全样本(基准)
ETF,2026-07-31,159326,电网设备ETF华夏,23,1,1.59,1.65,3.77,1,False,56.35,-4.61,39.81,12.9,92.43,,,全样本(基准)
ETF,2026-07-31,159363,创业板人工智能ETF华宝,51,1,1.13,1.23,8.85,1,False,29.05,-3.96,55.48,,,,,全样本(基准)
ETF,2026-07-31,159516,半导体设备ETF国泰,9,1,0.67,0.64,-4.48,1,False,24.48,9.98,62.77,104.39,95.19,,,全样本(基准)
ETF,2026-07-31,159530,机器人ETF易方达,28,1,1.32,1.38,4.55,1,False,62.58,-5.32,21.54,,,,,全样本(基准)
ETF,2026-07-31,159611,电力ETF广发,42,1,1.07,1.08,0.93,1,False,41.49,20.1,21.83,15.63,69.11,,,全样本(基准)
ETF,2026-07-31,159755,电池ETF广发,46,1,0.94,0.95,1.06,1,False,98.15,9.83,13.31,25.56,37.4,3.48,49.52,全样本(基准)
ETF,2026-07-31,159781,科创创业ETF易方达,32,1,1.07,1.1,2.8,1,False,18.06,-8.56,55.73,42.39,59.93,,,全样本(基准)
ETF,2026-07-31,159819,人工智能ETF易方达,19,1,1.76,1.82,3.41,1,False,18.15,0.62,61.04,48.82,64.44,,,全样本(基准)
ETF,2026-07-31,159851,金融科技ETF华宝,53,1,0.63,0.64,1.59,1,False,100.76,32.91,-3.93,33.48,13.61,,,全样本(基准)
ETF,2026-07-31,159852,软件ETF嘉实,48,1,0.71,0.73,2.82,1,False,81.6,33.76,-3.49,57.44,53.95,,,全样本(基准)
