策略,持有期(交易日),交易次数,胜率%,平均收益%,中位数收益%,累计净值,最大回撤%,数据补齐占比%
三周期共振偏弱(均<50),1,176,47.2,0.39,0.0,1.0308,-1.41,0.6
三周期共振偏弱(均<50),2,153,50.3,0.86,0.04,1.0802,,0.7
三周期共振偏弱(均<50),3,133,50.4,1.26,0.09,1.1033,,0.8
三周期共振偏弱(均<50),5,100,57.0,1.98,0.5,1.1493,,2.0
三周期共振偏弱(均<50),10,34,64.7,3.73,1.74,1.0811,,2.9
三周期共振偏强(均>50),1,140,43.6,0.24,-0.18,1.0368,-2.07,1.4
三周期共振偏强(均>50),2,124,44.4,0.63,-0.31,1.0801,,1.6
三周期共振偏强(均>50),3,114,40.4,0.85,-0.58,1.0818,,0.9
三周期共振偏强(均>50),5,91,40.7,1.2,-0.82,1.0954,,1.1
三周期共振偏强(均>50),10,31,38.7,0.98,-2.79,1.022,,0.0
三周期共振超买(均>80),1,42,50.0,0.7,0.09,1.097,-2.03,2.4
三周期共振超买(均>80),2,38,52.6,1.27,0.07,1.1491,,2.6
三周期共振超买(均>80),3,35,48.6,1.95,-0.51,1.2319,,0.0
三周期共振超买(均>80),5,28,46.4,2.44,-0.14,1.2044,,3.6
三周期共振超买(均>80),10,9,55.6,0.61,0.17,1.0182,,0.0
三周期共振超卖(均<20),1,6,33.3,-0.15,-0.58,0.9945,-1.11,0.0
三周期共振超卖(均<20),2,4,50.0,0.09,0.27,1.0033,,0.0
三周期共振超卖(均<20),3,4,50.0,-0.05,0.4,0.9974,,0.0
三周期共振超卖(均<20),5,2,0.0,-1.14,-1.14,0.9773,,0.0
全样本(基准),1,1100,42.1,0.02,-0.21,1.0013,-1.86,1.8
全样本(基准),2,1000,43.2,0.16,-0.29,1.0153,,2.0
全样本(基准),3,900,37.9,0.04,-0.55,1.0036,,2.3
全样本(基准),5,700,38.6,0.07,-0.79,1.0046,,2.6
全样本(基准),10,200,40.5,0.66,-1.16,1.0132,,4.0
分化-日低周高,1,461,40.3,-0.09,-0.2,0.9875,-2.3,1.7
分化-日低周高,2,420,42.1,-0.08,-0.22,0.9952,,2.1
分化-日低周高,3,370,37.6,-0.15,-0.43,0.9942,,2.4
分化-日低周高,5,274,37.2,-0.19,-0.69,1.0336,,1.5
分化-日低周高,10,49,46.9,2.11,-0.19,1.0716,,4.1
分化-日高周低,1,101,48.5,0.24,0.0,1.018,-5.23,5.0
分化-日高周低,2,95,52.6,0.75,0.17,1.087,,3.2
分化-日高周低,3,87,44.8,0.49,-0.12,1.0717,,3.4
分化-日高周低,5,65,43.1,0.55,-0.34,1.0536,,3.1
分化-日高周低,10,16,37.5,-0.42,-1.6,1.0031,,6.2
