市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
HK,2026-07-31,000001,长和,49,1,73.6,73.85,0.34,1,False,91.12,99.94,89.31,23.81,,0.5,,全样本(基准)
HK,2026-07-31,000002,中电控股,63,1,78.1,76.75,-1.73,1,False,92.15,110.2,91.25,18.85,,1.83,,全样本(基准)
HK,2026-07-31,000003,香港中华煤气,93,1,7.03,6.91,-1.71,1,False,68.99,82.84,20.86,23.06,,2.21,,全样本(基准)
HK,2026-07-31,000005,汇丰控股,2,1,168.2,166.5,-1.01,1,False,97.84,103.66,98.71,17.55,,1.87,,全样本(基准)
HK,2026-07-31,000006,电能实业,97,1,59.05,58.2,-1.44,1,False,66.72,80.96,47.97,20.18,,1.39,,全样本(基准)
HK,2026-07-31,000012,恒基地产,91,1,28.4,27.96,-1.55,1,False,78.97,52.62,11.26,24.32,,0.43,,全样本(基准)
HK,2026-07-31,000016,新鸿基地产,40,1,123.2,123.0,-0.16,1,False,67.04,60.8,41.26,16.23,,0.57,,全样本(基准)
HK,2026-07-31,000027,银河娱乐,84,1,34.2,33.24,-2.81,1,False,103.95,105.17,7.36,14.03,,1.8,,全样本(基准)
HK,2026-07-31,000066,港铁公司,61,1,33.12,32.26,-2.6,1,False,84.71,92.99,38.27,14.05,,1.07,,全样本(基准)
HK,2026-07-31,000175,吉利汽车,59,1,19.8,19.21,-2.98,1,False,82.83,82.88,32.45,12.39,,1.98,,全样本(基准)
HK,2026-07-31,000267,中信股份,39,1,12.37,11.99,-3.07,1,False,96.87,48.58,33.54,5.53,,0.42,,全样本(基准)
HK,2026-07-31,000300,美的集团,19,1,99.35,96.5,-2.87,1,False,93.56,109.95,72.59,15.29,,2.87,,全样本(基准)
HK,2026-07-31,000358,江西铜业股份,100,1,35.18,35.18,0.0,0,True,56.14,44.84,6.01,13.19,,1.28,,全样本(基准)
HK,2026-07-31,000386,中国石油化工股份,27,1,4.43,4.33,-2.26,1,False,88.67,96.06,3.72,13.12,,0.57,,全样本(基准)
HK,2026-07-31,000388,香港交易所,29,1,408.6,407.6,-0.24,1,False,97.23,100.55,28.5,27.46,,9.39,,全样本(基准)
HK,2026-07-31,000669,创科实业,52,1,132.0,132.0,0.0,1,False,68.55,80.1,98.06,25.87,,4.46,,全样本(基准)
HK,2026-07-31,000688,中国海外发展,85,1,13.51,13.21,-2.22,1,False,45.46,24.42,35.14,10.52,,0.34,,全样本(基准)
HK,2026-07-31,000700,腾讯控股,1,1,475.2,486.4,2.36,1,False,93.92,75.45,2.21,16.43,,3.39,,全样本(基准)
HK,2026-07-31,000728,中国电信,33,1,4.74,4.62,-2.53,1,False,69.0,44.34,17.04,12.23,,0.82,,全样本(基准)
HK,2026-07-31,000762,中国联通,62,1,6.72,6.61,-1.64,1,False,56.04,34.16,7.31,9.28,,0.5,,全样本(基准)
HK,2026-07-31,000788,中国铁塔,72,1,10.03,9.88,-1.5,1,False,99.66,93.04,8.6,13.71,,0.78,,全样本(基准)
HK,2026-07-31,000857,中国石油股份,8,1,9.94,9.64,-3.02,1,False,57.01,64.6,34.14,10.25,,0.99,,全样本(基准)
HK,2026-07-31,000883,中国海洋石油,12,1,23.82,23.56,-1.09,1,False,57.94,56.22,20.49,8.09,,1.19,,全样本(基准)
HK,2026-07-31,000939,建设银行,5,1,9.21,8.91,-3.26,1,False,92.51,89.2,78.46,6.3,,0.6,,全样本(基准)
HK,2026-07-31,000941,中国移动,9,1,83.65,82.55,-1.32,1,False,83.17,74.55,44.58,11.95,,1.1,,全样本(基准)
HK,2026-07-31,000981,中芯国际,26,1,63.25,65.1,2.92,1,False,2.64,-5.67,49.79,99.97,,2.98,,全样本(基准)
HK,2026-07-31,000992,联想集团,46,1,23.86,25.06,5.03,1,False,34.81,52.33,94.09,19.75,,4.95,,全样本(基准)
HK,2026-07-31,000998,中信银行,34,1,7.73,7.58,-1.94,1,False,85.83,90.4,35.36,5.39,,0.51,,全样本(基准)
HK,2026-07-31,001024,快手-W,68,1,43.7,45.44,3.98,1,False,45.24,40.81,-9.12,9.65,,2.04,,全样本(基准)
HK,2026-07-31,001038,长江基建集团,76,1,62.6,61.65,-1.52,1,False,69.09,104.29,60.57,19.08,,1.23,,全样本(基准)
HK,2026-07-31,001088,中国神华,14,1,43.46,42.06,-3.22,1,False,42.5,53.7,33.61,15.98,,1.68,,全样本(基准)
HK,2026-07-31,001109,华润置地,55,1,33.2,33.48,0.84,1,False,29.86,42.27,40.61,8.41,,0.74,,全样本(基准)
HK,2026-07-31,001113,长实集团,73,1,47.84,47.7,-0.29,1,False,52.54,81.95,56.39,15.44,,0.42,,全样本(基准)
