市场,策略,持有期(交易日),交易次数,胜率%,平均收益%,中位数收益%,累计净值,最大回撤%,数据补齐占比%
ETF,三周期共振偏弱(均<50),1,26,61.5,2.35,1.43,1.034,0.0,30.8
ETF,三周期共振偏弱(均<50),2,8,0.0,0.0,0.0,1.0,,100.0
ETF,三周期共振偏弱(均<50),3,8,0.0,0.0,0.0,1.0,,100.0
ETF,三周期共振偏弱(均<50),5,8,75.0,3.76,2.78,1.0376,,0.0
ETF,三周期共振偏强(均>50),1,7,14.3,-0.14,0.0,0.9976,-0.24,42.9
ETF,三周期共振偏强(均>50),2,3,0.0,0.0,0.0,1.0,,100.0
ETF,三周期共振偏强(均>50),3,3,0.0,0.0,0.0,1.0,,100.0
ETF,三周期共振偏强(均>50),5,3,0.0,-3.66,-4.11,0.9634,,0.0
ETF,全样本(基准),1,122,35.2,1.06,0.0,1.0212,0.0,50.0
ETF,全样本(基准),2,61,0.0,0.0,0.0,1.0,,100.0
ETF,全样本(基准),3,61,0.0,0.0,0.0,1.0,,100.0
ETF,全样本(基准),5,61,70.5,2.96,3.57,1.0296,,1.6
ETF,分化-日低周高,1,9,33.3,0.04,0.0,1.0005,0.0,22.2
ETF,分化-日低周高,2,2,0.0,0.0,0.0,1.0,,100.0
ETF,分化-日低周高,3,2,0.0,0.0,0.0,1.0,,100.0
ETF,分化-日低周高,5,2,50.0,1.78,1.78,1.0178,,0.0
ETF,分化-日高周低,1,38,47.4,1.39,0.0,1.0252,0.0,44.7
ETF,分化-日高周低,2,17,0.0,0.0,0.0,1.0,,100.0
ETF,分化-日高周低,3,17,0.0,0.0,0.0,1.0,,100.0
ETF,分化-日高周低,5,17,100.0,5.03,6.15,1.0503,,0.0
HK,三周期共振偏弱(均<50),1,34,47.1,1.68,0.0,1.0259,0.0,35.3
HK,三周期共振偏弱(均<50),2,12,0.0,0.0,0.0,1.0,,100.0
HK,三周期共振偏弱(均<50),3,12,0.0,0.0,0.0,1.0,,100.0
HK,三周期共振偏弱(均<50),5,12,58.3,2.47,1.86,1.0247,,0.0
HK,三周期共振偏强(均>50),1,29,20.7,0.32,0.0,1.0071,0.0,55.2
HK,三周期共振偏强(均>50),2,16,0.0,0.0,0.0,1.0,,100.0
HK,三周期共振偏强(均>50),3,16,0.0,0.0,0.0,1.0,,100.0
HK,三周期共振偏强(均>50),5,16,25.0,-0.9,-2.54,0.991,,0.0
HK,三周期共振超买(均>80),1,7,28.6,1.39,0.0,1.0324,0.0,57.1
HK,三周期共振超买(均>80),2,4,0.0,0.0,0.0,1.0,,100.0
HK,三周期共振超买(均>80),3,4,0.0,0.0,0.0,1.0,,100.0
HK,三周期共振超买(均>80),5,4,0.0,-2.56,-2.54,0.9744,,0.0
HK,全样本(基准),1,196,28.6,0.56,0.0,1.0111,0.0,50.5
HK,全样本(基准),2,98,0.0,0.0,0.0,1.0,,100.0
HK,全样本(基准),3,98,0.0,0.0,0.0,1.0,,100.0
HK,全样本(基准),5,98,37.8,0.54,-0.93,1.0054,,1.0
HK,分化-日低周高,1,47,38.3,0.32,0.0,1.0041,0.0,23.4
HK,分化-日低周高,2,11,0.0,0.0,0.0,1.0,,100.0
HK,分化-日低周高,3,11,0.0,0.0,0.0,1.0,,100.0
HK,分化-日低周高,5,11,54.5,1.47,0.06,1.0147,,9.1
HK,分化-日高周低,1,16,25.0,1.29,0.0,1.0412,0.0,75.0
HK,分化-日高周低,2,11,0.0,0.0,0.0,1.0,,100.0
HK,分化-日高周低,3,11,0.0,0.0,0.0,1.0,,100.0
HK,分化-日高周低,5,11,45.5,0.57,-0.52,1.0057,,0.0
个股,三周期共振偏弱(均<50),1,128,56.2,2.13,1.11,0.9967,-11.29,0.8
个股,三周期共振偏弱(均<50),2,102,51.0,2.63,0.41,0.9513,,2.0
个股,三周期共振偏弱(均<50),3,73,45.2,-0.66,-0.33,0.828,,2.7
个股,三周期共振偏弱(均<50),5,53,49.1,-0.7,0.0,0.8184,,3.8
个股,三周期共振偏弱(均<50),10,10,50.0,-0.51,0.8,0.9881,,0.0
个股,三周期共振偏强(均>50),1,174,25.3,-0.42,-0.21,0.9731,-3.69,1.1
个股,三周期共振偏强(均>50),2,158,35.4,-0.55,-0.12,0.9804,,1.3
个股,三周期共振偏强(均>50),3,129,46.5,-0.26,-0.09,0.9969,,0.8
个股,三周期共振偏强(均>50),5,97,51.5,-0.1,0.25,1.0123,,2.1
个股,三周期共振偏强(均>50),10,30,26.7,-1.42,-1.04,0.9731,,3.3
个股,三周期共振超买(均>80),1,40,25.0,-0.34,-0.36,0.9644,-5.11,0.0
个股,三周期共振超买(均>80),2,36,30.6,-0.84,-0.62,0.9292,,0.0
个股,三周期共振超买(均>80),3,32,34.4,-1.39,-1.14,0.8936,,0.0
个股,三周期共振超买(均>80),5,24,29.2,-1.72,-1.91,0.9931,,0.0
个股,三周期共振超买(均>80),10,4,75.0,4.16,4.18,1.0848,,0.0
个股,三周期共振超卖(均<20),1,18,55.6,0.99,0.66,1.0128,-12.89,0.0
个股,三周期共振超卖(均<20),2,16,62.5,3.16,0.72,1.107,,0.0
个股,三周期共振超卖(均<20),3,12,66.7,2.48,1.55,1.1524,,0.0
个股,三周期共振超卖(均<20),5,8,75.0,3.57,1.79,1.1773,,0.0
个股,三周期共振超卖(均<20),10,1,100.0,3.37,3.37,1.0337,,0.0
个股,全样本(基准),1,1094,37.8,-0.16,0.0,0.981,-4.25,1.5
个股,全样本(基准),2,994,40.0,-0.47,0.0,0.9531,,2.2
个股,全样本(基准),3,894,44.6,-1.03,-0.32,0.9097,,3.0
个股,全样本(基准),5,694,47.4,-1.38,-0.14,0.9062,,4.6
个股,全样本(基准),10,198,34.8,-2.55,-1.65,0.9494,,4.5
个股,分化-日低周高,1,138,42.8,0.17,0.0,1.0276,-1.72,3.6
个股,分化-日低周高,2,104,44.2,0.15,0.0,1.012,,3.8
个股,分化-日低周高,3,90,48.9,-0.12,0.0,0.9469,,4.4
个股,分化-日低周高,5,70,54.3,-0.34,0.29,0.9092,,2.9
