市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
个股,2026-07-23,000001,平安银行,73,1,11.08,11.1,0.18,1,False,88.37,80.76,46.02,4.99,27.23,0.46,5.01,全样本(基准)
个股,2026-07-23,000333,美的集团,23,1,84.77,84.5,-0.32,1,False,87.41,97.84,85.64,14.62,52.58,2.78,41.54,全样本(基准)
个股,2026-07-23,000338,潍柴动力,60,1,27.99,27.62,-1.32,1,False,100.04,11.28,65.5,21.39,94.75,2.54,86.17,全样本(基准)
个股,2026-07-23,000651,格力电器,67,1,40.57,40.46,-0.27,1,False,87.06,94.4,79.73,7.79,29.2,1.49,5.45,全样本(基准)
个股,2026-07-23,000725,京东方Ａ,68,1,6.06,5.79,-4.46,1,False,23.07,22.44,59.78,37.73,57.69,1.65,74.27,全样本(基准)
个股,2026-07-23,000776,广发证券,98,1,22.82,22.82,0.0,0,True,94.88,59.36,63.68,11.41,8.0,1.3,77.88,全样本(基准)
个股,2026-07-23,000858,五 粮 液,51,1,74.84,73.57,-1.7,1,False,81.53,44.93,8.1,23.05,33.69,2.27,0.96,全样本(基准)
个股,2026-07-23,001399,惠科股份,89,1,25.79,25.1,-2.68,1,False,25.29,-0.6,,49.73,15.0,7.13,15.0,全样本(基准)
个股,2026-07-23,002142,宁波银行,76,1,31.85,32.01,0.5,1,False,64.07,85.36,69.46,6.99,31.23,0.9,27.86,全样本(基准)
个股,2026-07-23,002352,顺丰控股,99,1,33.9,33.5,-1.18,1,False,80.31,66.5,25.65,15.65,1.73,1.78,1.73,全样本(基准)
个股,2026-07-23,002371,北方华创,30,1,740.0,757.0,2.3,1,False,54.98,29.45,72.79,96.31,46.6,13.67,86.22,全样本(基准)
个股,2026-07-23,002379,宏桥控股,54,1,20.45,19.06,-6.8,1,False,103.0,73.95,5.62,13.52,73.11,5.1,83.52,全样本(基准)
个股,2026-07-23,002384,东山精密,38,1,206.65,199.18,-3.61,1,False,4.9,16.22,75.04,185.53,96.92,16.72,97.49,全样本(基准)
个股,2026-07-23,002415,海康威视,43,1,35.77,35.49,-0.78,1,False,105.94,92.47,90.57,21.95,32.58,3.81,23.47,全样本(基准)
个股,2026-07-23,002463,沪电股份,69,1,115.74,112.22,-3.04,1,False,25.65,16.89,70.98,51.77,96.96,13.27,98.07,全样本(基准)
个股,2026-07-23,002475,立讯精密,31,1,61.19,60.59,-0.98,1,False,64.93,5.52,55.24,27.46,42.31,5.35,46.27,全样本(基准)
个股,2026-07-23,002594,比亚迪,18,1,92.65,91.89,-0.82,1,False,54.73,83.21,35.35,30.66,29.98,3.64,31.13,全样本(基准)
个股,2026-07-23,002714,牧原股份,66,1,39.7,38.68,-2.57,1,False,52.01,97.11,20.44,23.43,69.35,2.66,2.07,全样本(基准)
个股,2026-07-23,002916,深南电路,65,1,337.47,332.81,-1.38,1,False,29.56,7.51,65.68,63.25,95.04,12.71,90.8,全样本(基准)
个股,2026-07-23,002938,鹏鼎控股,82,1,87.61,88.39,0.89,1,False,22.82,5.34,65.08,54.69,97.53,5.86,91.74,全样本(基准)
个股,2026-07-23,003816,中国广核,77,1,4.16,4.06,-2.4,1,False,96.84,34.15,35.81,22.15,91.64,1.67,71.27,全样本(基准)
