策略,持有期(交易日),交易次数,胜率%,平均收益%,中位数收益%,累计净值,最大回撤%,数据补齐占比%
三周期共振偏弱(均<50),1,194,53.6,1.7,0.45,1.0579,-11.29,2.1
三周期共振偏弱(均<50),2,185,58.9,3.14,1.15,1.1321,,3.2
三周期共振偏弱(均<50),3,177,61.6,4.27,1.71,1.1658,,4.5
三周期共振偏弱(均<50),5,164,70.1,6.33,3.73,1.4761,,4.3
三周期共振偏弱(均<50),10,128,85.9,14.9,11.69,3.2088,,3.1
三周期共振偏弱(均<50),20,5,40.0,8.06,-0.8,1.0806,,20.0
三周期共振偏强(均>50),1,249,33.7,-0.15,-0.13,1.0066,-5.27,1.2
三周期共振偏强(均>50),2,234,39.7,-0.24,-0.1,1.0398,,1.3
三周期共振偏强(均>50),3,224,40.6,-0.4,-0.57,1.0233,,1.3
三周期共振偏强(均>50),5,207,36.7,-0.56,-1.17,0.9776,,1.9
三周期共振偏强(均>50),10,172,19.2,-1.61,-2.91,0.8491,,2.3
三周期共振偏强(均>50),20,17,35.3,-0.38,-1.26,0.9962,,5.9
三周期共振超买(均>80),1,56,33.9,-0.0,-0.01,1.0399,-5.11,1.8
三周期共振超买(均>80),2,54,42.6,-0.18,-0.15,1.0181,,1.9
三周期共振超买(均>80),3,52,42.3,-0.47,-0.88,0.999,,1.9
三周期共振超买(均>80),5,49,34.7,-0.98,-1.88,1.0299,,2.0
三周期共振超买(均>80),10,38,15.8,-2.17,-3.66,0.8694,,0.0
三周期共振超买(均>80),20,2,0.0,-1.52,-1.52,0.9848,,0.0
三周期共振超卖(均<20),1,21,47.6,0.84,0.0,1.0103,-12.89,4.8
三周期共振超卖(均<20),2,21,57.1,2.7,0.72,1.1382,,9.5
三周期共振超卖(均<20),3,21,66.7,5.24,2.37,1.4384,,14.3
三周期共振超卖(均<20),5,19,84.2,12.5,9.61,2.4112,,5.3
三周期共振超卖(均<20),10,18,100.0,25.15,22.41,8.3122,,11.1
全样本(基准),1,1994,42.7,0.06,0.0,1.0096,-4.25,1.5
全样本(基准),2,1894,44.1,0.16,0.0,1.0277,,2.3
全样本(基准),3,1794,45.3,0.12,-0.22,1.018,,3.1
全样本(基准),5,1594,45.9,0.43,-0.29,1.0654,,4.4
全样本(基准),10,1094,42.3,1.75,-0.87,1.2046,,5.9
全样本(基准),20,99,43.4,0.12,-0.88,1.0012,,6.1
分化-日低周高,1,505,44.4,0.05,0.0,1.0269,-2.1,1.6
分化-日低周高,2,473,41.9,0.04,-0.09,1.0109,,2.3
分化-日低周高,3,435,40.9,-0.02,-0.31,0.9491,,3.0
分化-日低周高,5,355,39.2,-0.17,-0.54,0.9117,,5.1
分化-日低周高,10,136,40.4,-0.09,-0.59,0.8835,,11.8
分化-日低周高,20,2,50.0,-1.48,-1.48,0.9852,,0.0
分化-日高周低,1,402,51.5,0.41,0.12,1.0558,-7.85,1.5
分化-日高周低,2,370,51.9,0.87,0.17,1.1513,,2.4
分化-日高周低,3,336,56.0,0.76,0.7,1.1031,,3.9
分化-日高周低,5,267,54.7,1.12,0.65,1.1437,,5.6
分化-日高周低,10,122,42.6,1.15,-0.72,1.2349,,10.7
分化-日高周低,20,15,60.0,1.75,0.7,1.0175,,0.0
