排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题
1,510300,沪深300ETF华泰柏瑞,4.653,1.04,1232.3,1232.3,70.17,沪深300指数,指数型-股票,沪深300
2,588000,科创50ETF华夏,1.728,3.54,931.4,931.4,154.72,上证科创板50成份指数,指数型-股票,科创板
3,159915,创业板ETF易方达,3.368,3.0,740.84,740.84,150.89,创业板指数(价格),指数型-股票,创业板
4,512880,证券ETF国泰,1.107,0.09,630.0,630.0,18.49,中证全指证券公司指数,指数型-股票,证券
5,510310,沪深300ETF易方达,4.514,0.92,526.26,526.26,12.51,沪深300指数,指数型-股票,沪深300
6,588200,科创芯片ETF嘉实,1.115,3.53,495.91,495.91,65.93,上证科创板芯片指数,指数型-股票,半导体
7,510500,中证500ETF南方,7.5,2.24,449.11,449.11,75.41,中证500指数,指数型-股票,中证500
8,510330,沪深300ETF华夏,4.85,1.1,422.54,422.54,7.05,沪深300指数,指数型-股票,沪深300
9,588080,科创50ETF易方达,1.676,3.52,415.09,415.09,31.8,上证科创板50成份指数,指数型-股票,科创板
10,563360,A500ETF华泰柏瑞,1.272,1.44,410.51,410.51,49.46,中证A500指数,指数型-股票,中证A500
11,515880,通信ETF国泰,0.582,4.86,404.9,404.9,56.14,中证全指通信设备指数,指数型-股票,通信
12,512000,券商ETF华宝,0.529,0.0,400.76,400.76,8.98,中证全指证券公司指数,指数型-股票,证券
13,159516,半导体设备ETF国泰,0.67,3.08,390.62,390.62,74.99,中证半导体材料设备主题指数,指数型-股票,半导体
14,588170,科创半导体ETF华夏,0.92,2.45,385.11,385.11,136.18,上证科创板半导体材料设备主题指数,指数型-股票,半导体
15,512890,红利低波ETF华泰柏瑞,1.204,-0.25,348.78,348.78,10.99,中证红利低波动指数,指数型-股票,红利
16,159352,A500ETF南方,1.252,1.54,328.2,328.2,40.03,中证A500指数,指数型-股票,中证A500
17,512100,中证1000ETF南方,2.864,2.36,324.53,324.53,88.44,中证1000指数,指数型-股票,中证1000
18,159919,沪深300ETF嘉实,4.851,1.1,317.46,317.46,12.5,沪深300指数,指数型-股票,沪深300
19,159338,中证A500ETF国泰,1.205,1.43,276.83,276.83,33.95,中证A500指数,指数型-股票,中证A500
20,159361,A500ETF易方达,1.229,1.74,270.54,270.54,17.12,中证A500指数,指数型-股票,中证A500
21,159949,创业板50ETF华安,1.583,3.06,266.35,266.35,36.89,创业板50指数,指数型-股票,创业板
22,159995,芯片ETF华夏,1.118,3.52,265.31,265.31,17.61,国证半导体芯片指数,指数型-股票,半导体
23,512170,医疗ETF华宝,0.33,1.54,262.3,262.3,6.11,中证医疗指数,指数型-股票,医药
24,510880,红利ETF华泰柏瑞,3.304,-0.24,231.02,231.02,8.65,上证红利指数,指数型-股票,红利
25,512400,有色金属ETF南方,1.792,2.58,230.17,230.17,8.45,有色金属,指数型-股票,有色金属
26,510050,上证50ETF华夏,3.033,0.23,216.7,216.7,20.47,上证50指数,指数型-股票,上证50
27,159819,人工智能ETF易方达,1.765,5.69,207.3,207.3,8.76,中证人工智能主题指数,指数型-股票,人工智能
28,512050,A500ETF华夏,1.199,1.52,201.53,201.53,18.91,中证A500指数,指数型-股票,中证A500
29,515450,红利低波50ETF南方,1.458,-0.61,199.85,199.85,3.21,标普中国A股大盘红利低波50指数,指数型-股票,红利
30,512480,半导体ETF国联安,0.992,3.55,198.7,198.7,30.13,中证全指半导体产品与设备指数,指数型-股票,半导体
