排名,代码,名称,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,601398,工商银行,105.03,90.88,55.32,7.43,91.6,0.7,59.31
2,601939,建设银行,102.33,84.19,91.5,7.99,97.25,0.77,71.43
3,601288,农业银行,108.33,75.41,5.03,7.86,90.88,0.82,80.12
4,600941,中国移动,98.67,70.19,34.74,15.3,39.89,1.46,30.42
5,601857,中国石油,103.07,95.25,27.81,12.74,56.03,1.24,91.02
6,601988,中国银行,101.67,80.16,85.57,7.99,99.08,0.72,85.96
7,300750,宁德时代,88.38,18.49,34.91,22.05,17.54,4.87,32.84
8,600519,贵州茅台,102.62,100.35,32.47,20.06,6.9,6.13,2.17
9,600938,中国海油,92.26,50.83,14.53,12.15,90.09,1.81,74.25
10,688981,中芯国际,1.07,41.33,77.59,244.32,96.16,8.23,95.33
11,601628,中国人寿,82.57,110.38,20.49,7.93,7.29,1.92,33.2
12,601138,工业富联,2.18,-13.48,34.16,27.58,88.21,6.36,89.48
13,300308,中际旭创,17.42,-9.11,66.87,74.9,80.6,31.46,97.78
14,601088,中国神华,99.89,64.26,47.8,19.41,99.18,2.08,96.57
15,600036,招商银行,100.71,111.44,37.44,6.51,24.18,0.87,8.74
16,601318,中国平安,97.65,67.85,-0.96,7.26,5.65,0.95,18.73
17,002594,比亚迪,84.09,87.73,38.23,31.08,30.55,3.69,31.81
18,601899,紫金矿业,89.41,62.84,-0.24,12.65,6.66,3.96,73.12
19,688256,寒武纪,1.11,-5.59,73.06,279.58,83.23,59.02,94.16
20,688041,海光信息,5.84,41.63,74.8,272.94,96.53,31.67,97.06
21,300502,新易盛,44.59,32.98,83.58,66.21,70.8,34.89,98.55
22,600900,长江电力,97.89,107.1,94.29,19.65,56.47,3.11,80.65
23,000333,美的集团,94.4,102.23,89.0,14.54,51.83,2.77,40.25
24,600028,中国石化,100.82,117.62,-1.17,17.82,86.25,0.76,36.73
25,601658,邮储银行,99.81,110.77,29.85,7.08,73.2,0.6,17.61
26,601328,交通银行,101.52,101.34,44.91,6.44,87.89,0.53,50.48
27,688347,华虹宏力,8.75,64.17,84.83,1167.43,85.29,12.73,99.02
28,601728,中国电信,104.99,77.74,36.81,18.03,60.94,1.22,59.43
29,688825,长鑫科技,,,,,,,
30,002371,北方华创,-2.11,17.17,64.35,88.1,43.97,12.5,81.27
31,002475,立讯精密,17.75,-9.43,46.06,25.49,32.96,4.97,39.14
32,601998,中信银行,86.12,70.29,29.49,5.9,64.72,0.57,55.65
33,600030,中信证券,45.43,68.13,78.98,12.44,6.18,1.44,42.04
34,688235,百济神州,20.9,73.74,37.97,126.36,94.78,12.1,76.62
