排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,601398,工商银行,78.82,89.2,55.87,7.75,0.91,7.44,91.71,0.7,59.83
2,601939,建设银行,62.99,73.97,85.14,10.26,0.2,7.85,96.53,0.76,69.75
3,601288,农业银行,93.87,79.07,6.51,6.66,1.06,7.92,91.33,0.82,81.65
4,600941,中国移动,64.98,63.71,30.82,94.69,0.28,15.12,37.66,1.44,29.31
5,601857,中国石油,89.51,93.84,28.13,11.03,1.38,12.76,56.17,1.24,91.38
6,601988,中国银行,62.13,73.18,80.44,6.01,0.67,7.89,98.7,0.71,83.38
7,300750,宁德时代,92.14,24.05,38.5,383.01,-0.77,22.44,19.13,4.96,35.06
8,600519,贵州茅台,64.32,82.02,26.45,1297.41,0.42,19.61,3.28,5.99,1.83
9,600938,中国海油,74.65,51.12,14.7,31.91,-3.27,12.17,89.93,1.81,74.35
10,688981,中芯国际,16.52,40.96,77.35,143.73,-0.94,243.87,95.76,8.21,94.93
11,601138,工业富联,61.85,-3.73,41.92,60.25,-4.18,29.41,89.0,6.78,90.77
12,300308,中际旭创,43.07,-2.02,70.24,1046.51,-2.43,78.07,83.91,32.8,97.88
13,601628,中国人寿,81.63,101.05,19.34,40.31,-3.4,7.87,7.13,1.9,31.89
14,601088,中国神华,72.34,61.52,45.05,45.7,0.84,19.22,98.65,2.06,95.18
15,600036,招商银行,86.58,108.41,40.45,39.2,0.75,6.56,25.67,0.87,10.07
16,601318,中国平安,95.16,74.63,1.38,54.02,-0.52,7.37,7.51,0.96,20.86
17,601899,紫金矿业,79.42,75.52,8.11,31.51,-4.69,13.58,11.27,4.25,80.78
18,002594,比亚迪,46.68,80.52,33.62,91.89,-0.82,30.41,29.67,3.61,30.92
19,688256,寒武纪,28.07,-2.91,74.34,1225.0,-1.92,283.28,83.69,59.8,94.31
20,688041,海光信息,28.82,38.37,72.52,314.28,0.73,267.96,95.5,31.09,96.34
21,600900,长江电力,69.36,95.19,84.64,28.9,-0.14,19.6,55.88,3.1,79.34
22,300502,新易盛,20.95,19.4,77.2,476.02,-4.28,61.8,64.98,32.57,97.98
23,000333,美的集团,80.86,96.28,84.45,84.5,-0.32,14.58,52.12,2.77,40.94
24,600028,中国石化,80.05,109.39,-2.26,5.19,0.0,17.65,86.03,0.75,36.08
25,601328,交通银行,82.19,97.79,45.53,7.04,1.29,6.45,88.25,0.53,50.87
26,601658,邮储银行,50.16,98.24,25.56,5.12,0.2,7.0,69.41,0.6,14.27
27,688825,长鑫科技,,,,,,,,,
28,688347,华虹宏力,30.32,62.51,83.49,329.9,-3.26,1161.86,84.26,12.67,98.19
29,601728,中国电信,65.72,72.64,33.91,6.16,1.99,17.8,55.79,1.2,54.03
30,002371,北方华创,71.85,32.76,75.06,757.0,2.3,98.52,47.45,13.98,87.14
31,002475,立讯精密,69.94,3.48,53.98,60.59,-0.98,27.19,41.04,5.3,45.18
32,601998,中信银行,80.71,75.47,32.49,7.61,0.79,5.95,66.57,0.57,57.71
33,688235,百济神州,71.46,84.65,45.98,271.0,-0.53,132.07,95.43,12.65,78.49
34,600030,中信证券,61.58,63.07,75.05,27.95,-2.34,12.3,4.96,1.42,40.7
35,603993,洛阳钼业,79.25,38.04,13.63,19.04,-4.94,16.87,24.28,4.58,92.58
36,601166,兴业银行,81.07,79.98,27.46,18.33,0.38,5.01,36.46,0.47,7.76
37,603259,药明康德,46.49,82.91,83.73,125.0,-1.92,18.53,18.2,4.43,32.58
38,688012,中微公司,66.77,46.03,79.85,388.5,3.54,136.36,72.71,15.31,78.65
39,002384,东山精密,-6.22,9.65,72.38,199.18,-3.61,178.82,96.77,16.12,97.4
40,600276,恒瑞医药,11.75,78.96,24.91,53.45,-2.66,43.69,4.72,5.58,3.18
41,601211,国泰海通,110.41,83.42,49.01,19.22,0.89,15.43,66.96,1.04,39.02
42,601319,中国人保,80.33,97.12,2.46,7.45,-1.84,7.73,12.12,1.03,30.15
43,688802,沐曦股份-U,10.57,44.05,87.15,821.61,0.96,-501.28,8.97,25.1,84.83
44,002415,海康威视,103.45,89.07,88.01,35.49,-0.78,21.77,30.73,3.86,24.76
45,603986,兆易创新,30.08,-0.04,56.91,457.0,1.12,111.56,61.42,12.69,79.72
