排名,代码,名称,最新价,总市值,流通市值
1,688825,长鑫科技,54.99,3677779925374,247622113015
2,601398,工商银行,7.96,2836993806428,2146113211810
3,601939,建设银行,10.45,2733723986247,100253721983
4,601288,农业银行,6.89,2411383103385,2199592612254
5,600941,中国移动,98.97,2146035425087,89346935797
6,601857,中国石油,11.05,2022381804889,1789238959889
7,601988,中国银行,6.03,1942940843238,1270916054521
8,300750,宁德时代,394.4,1824752700054,1680175953894
9,600519,贵州茅台,1358.98,1698835894127,1698835894127
10,600938,中国海油,31.85,1513829034390,95231500000
11,601138,XD工业富,55.9,1109284758676,1109284758676
12,601628,中国人寿,38.51,1088473789550,801914140300
13,300308,中际旭创,902.5,1055685513503,1001720649645
14,600036,招商银行,40.36,1017872968456,832584197154
15,601318,中国平安,55.55,1005879512822,592166615361
16,688981,中芯国际,116.5,997333898418,232949036959
17,601088,中国神华,43.73,948478962114,721153089772
18,601899,紫金矿业,32.55,865527760946,670588366707
19,002594,比亚迪,94.45,861119310014,329310645075
20,600900,长江电力,29.05,710801724650,710801724650
21,000333,美的集团,85.9,655201249437,591296503904
22,688256,寒武纪,1028.0,645885172132,645885172132
23,601328,交通银行,7.25,640637435617,189025186875
24,600028,中国石化,5.28,638486715092,500293069980
25,601658,邮储银行,5.14,617288574949,372792895110
26,688041,海光信息,261.0,606652241751,606652241751
27,601728,中国电信,6.47,592051187383,502264344683
28,300502,新易盛,394.08,549448674031,494272143705
29,002371,北方华创,641.3,465384483960,465012945522
30,601998,中信银行,7.9,439596781886,322027694367
31,600030,中信证券,28.27,418976858856,344231096035
32,002475,立讯精密,53.71,414924668758,393429786897
33,603993,洛阳钼业,19.18,410342869176,334898952936
34,601166,兴业银行,19.1,404210616698,404210616698
35,688235,百济神州,249.65,384815280312,28723545659
36,603259,药明康德,128.5,383412794418,317816511611
37,688347,华虹宏力,219.5,381430945239,89501125000
38,600276,恒瑞医药,53.0,351771593322,338087120522
39,002415,海康威视,37.95,347806875323,343299256295
40,601319,中国人保,7.34,324604090879,260553533319
41,601211,国泰海通,18.3,322607847341,246993456532
42,600000,浦发银行,9.63,320735222829,320735222829
43,601601,中国太保,32.98,317278861186,225749467186
44,300059,东方财富,20.01,316602219499,267199448478
45,000858,五 粮 液,78.06,302998320870,302990935301
46,002384,东山精密,162.81,298204022285,225707039722
47,688012,中微公司,309.85,296787451528,291939752224
48,688802,沐曦股份-U,665.0,266066500000,12321515675
49,688795,摩尔线程-U,563.0,264625886171,17016950870
50,600150,中国船舶,35.1,264149307209,264149307209
51,601816,京沪高铁,5.22,255392046311,255392046311
52,600183,生益科技,102.03,247831244450,246070735880
53,000338,潍柴动力,28.48,246073483286,141158059625
54,002379,宏桥控股,18.69,243551599195,21238825444
55,601919,中远海控,15.72,240014893010,197388761090
56,603986,兆易创新,340.74,239112602885,227781941591
57,600309,万华化学,75.3,235724513438,235724513438
58,601225,陕西煤业,24.18,234425100000,234425100000
59,688008,澜起科技,189.94,231828991709,217436573119
60,000651,格力电器,40.96,229433579151,226181508055
61,300408,三环集团,114.0,226616230494,213157908738
62,000001,平安银行,11.62,225496769461,225493079588
63,002714,牧原股份,38.93,224742737200,127709835841
64,603288,海天味业,38.02,222486384371,211414032683
65,601869,长飞光纤,262.3,217159509828,106582539762
66,688820,盛合晶微,116.42,216864160373,20129325698
67,300274,阳光电源,103.74,215074953126,164690172771
68,600690,海尔智家,22.92,214935271578,143319411180
69,600919,江苏银行,11.69,214526982972,214526982972
70,002142,宁波银行,32.29,213229946674,213095986733
71,003816,中国广核,4.16,210075031733,163634351733
72,002916,深南电路,302.31,205923473334,200978544830
73,600406,国电南瑞,25.07,201356126831,200764976381
74,000725,京东方Ａ,5.42,200780258107,191689866914
75,601066,中信建投,25.56,198261119011,166029351655
76,300394,天孚通信,180.5,196893929287,196454043025
77,601668,中国建筑,4.76,196685058513,196685058513
78,601336,新华保险,62.87,196125894742,131111571306
79,002463,沪电股份,101.61,195534578995,195376773482
80,300760,迈瑞医疗,156.89,190219930305,190056433510
81,600188,兖矿能源,18.95,190198345779,112967620779
82,601818,光大银行,3.2,189073763395,148501809795
83,600025,华能水电,10.12,188546673881,188546673881
84,002938,鹏鼎控股,80.91,187511890999,186968953101
85,300476,胜宏科技,189.3,186041165101,163781403089
86,600031,三一重工,20.2,185739089627,171182678747
87,601985,中国核电,9.03,185729058728,170516062349
88,002352,顺丰控股,35.05,184549048134,168208989828
89,600930,华电新能,4.35,181457142856,46732900147
90,601898,中煤能源,13.49,178859369266,123460485396
91,601766,中国中车,6.22,178506934627,151318903859
92,601688,华泰证券,19.6,176926530206,143212458878
93,300033,同花顺,231.09,173927577600,101312378116
94,300124,汇川技术,64.11,173584488850,154525276699
95,001248,华润新能,13.26,172453259644,14087474269
96,688072,拓荆科技,591.86,172041263470,167314686082
97,600887,伊利股份,27.12,171543781289,170691374034
98,601995,中金公司,35.25,170160804597,103054871010
99,600989,宝丰能源,22.91,168007277600,168007277600
100,688808,联讯仪器,1624.0,166730667208,31336937856
