排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,688825,长鑫科技,13.65,,,5.96,,,53.52,6.19,126.95,69.23,43.8,69.23
2,601398,工商银行,0.26,56.01,63.24,-0.09,71.21,65.7,7.52,-1.05,7.22,87.22,0.68,51.22
3,601939,建设银行,29.15,63.78,82.65,17.72,69.52,90.43,10.24,0.1,7.84,96.22,0.76,69.51
4,601288,农业银行,-3.93,62.71,20.76,-11.35,75.8,13.57,6.44,-0.62,7.66,88.61,0.8,74.39
5,600941,中国移动,21.5,91.67,54.87,23.14,89.76,40.42,96.22,-0.21,15.37,41.26,1.47,31.84
6,601857,中国石油,25.2,101.79,29.49,51.84,109.4,28.93,10.66,-3.62,12.33,54.0,1.2,85.11
7,601988,中国银行,29.71,60.85,78.73,24.46,65.67,84.11,5.83,-0.85,7.66,94.21,0.69,76.83
8,300750,宁德时代,27.45,81.18,40.65,18.96,65.41,45.2,393.93,0.9,21.44,16.33,4.8,31.05
9,600519,贵州茅台,69.13,108.53,48.39,65.39,101.74,37.09,1343.0,-0.26,20.3,9.67,6.2,2.78
10,600938,中国海油,88.16,92.94,20.68,90.76,65.82,16.2,32.85,-2.52,12.52,90.82,1.87,77.63
11,601138,工业富联,79.32,47.14,39.32,93.31,34.88,34.58,65.6,-0.62,27.75,87.71,7.41,93.4
12,688981,中芯国际,72.56,5.71,47.25,60.25,5.99,59.31,127.96,2.03,217.12,92.06,7.31,93.83
13,300308,中际旭创,40.81,4.48,41.41,38.88,0.39,58.78,921.0,3.84,72.07,77.69,30.27,97.27
14,601628,中国人寿,9.02,63.39,20.97,5.55,82.26,16.2,37.33,0.48,7.29,4.64,1.76,14.55
15,600036,招商银行,-0.31,84.52,61.23,4.03,94.05,44.8,38.7,-0.64,6.47,23.36,0.86,8.14
16,601088,中国神华,62.28,75.76,43.68,69.25,65.11,44.99,44.07,-1.41,18.54,96.55,1.99,89.04
17,601318,中国平安,-11.59,85.36,8.62,-19.75,96.25,3.99,52.6,0.1,7.17,4.88,0.94,17.23
18,601899,紫金矿业,41.89,105.49,26.87,53.98,112.95,13.67,33.58,1.21,14.47,17.42,4.53,84.63
19,002594,比亚迪,13.05,84.6,42.5,9.76,91.89,43.25,90.41,0.32,29.92,28.67,3.55,29.87
20,688256,寒武纪,52.78,4.17,47.99,59.72,7.78,64.81,1105.38,1.35,208.43,78.67,51.23,89.06
