排名,代码,名称,最新价,总市值,流通市值
1,688825,长鑫科技,56.1,3752017708920,252620486273
2,601398,工商银行,7.92,2822737556145,2135328723309
3,601939,建设银行,10.67,2791276070168,102364326656
4,601288,农业银行,6.86,2400883612369,2190015285930
5,600941,中国移动,98.45,2135106235332,88877496506
6,601857,中国石油,11.01,2015060965776,1782762076776
7,601988,中国银行,6.2,1997716953247,1306746192045
8,300750,宁德时代,379.0,1753502214301,1614570706201
9,600519,贵州茅台,1302.8,1628606309783,1628606309783
10,600938,中国海油,33.33,1584173366287,99656700000
11,601138,工业富联,60.57,1201956669642,1201956669642
12,601628,中国人寿,38.58,1090452318900,803371787400
13,688981,中芯国际,124.15,1062855538539,248245690458
14,601088,中国神华,47.26,1025042665207,779366453753
15,601318,中国平安,56.13,1016381945179,598349453109
16,600036,招商银行,39.8,1003749854920,821031988274
17,300308,中际旭创,850.9,995327206027,944446480750
18,601899,紫金矿业,34.47,916581933020,710143809536
19,002594,比亚迪,92.09,839602723761,321082237215
20,600900,长江电力,28.24,690982468300,690982468300
21,000333,美的集团,86.39,659051867168,594782589326
22,600028,中国石化,5.33,644532990803,505030693749
23,688256,寒武纪,1020.0,641431088160,641431088160
24,601328,交通银行,7.17,633568332879,186939391710
25,601658,邮储银行,5.08,610082871739,368441227073
26,601728,中国电信,6.42,587475830448,498382858248
27,300502,新易盛,398.78,556001680446,500167085750
28,688041,海光信息,230.96,536829125497,536829125497
29,002371,北方华创,700.7,508490422440,508067538078
30,601998,中信银行,8.65,481330653584,352599943833
31,603259,药明康德,159.25,475163326934,393869879176
32,002475,立讯精密,57.11,441907031267,418335192644
33,600030,中信证券,27.77,433886039327,338142820548
34,688235,百济神州,279.0,430297565499,32100417540
35,688347,华虹宏力,244.02,424039996616,99499155000
36,603993,洛阳钼业,19.59,419114536348,342057898228
37,601166,兴业银行,18.21,385375671732,385375671732
38,002384,东山精密,194.36,355991239920,269445490082
39,688012,中微公司,368.05,352533876181,346775619836
40,601869,长飞光纤,388.02,321243740006,157667392598
41,601319,中国人保,7.24,320181691821,257003757661
42,002415,海康威视,34.78,318754232509,314623139234
43,600183,生益科技,130.01,315794767137,313551468899
44,601211,国泰海通,17.85,313821884372,240066863828
45,600276,恒瑞医药,46.74,310222722111,298154566287
46,601601,中国太保,31.98,307658519731,218904425731
47,600000,浦发银行,9.21,306746770743,306746770743
48,300059,东方财富,19.36,306317789580,259276200107
49,000858,五 粮 液,71.9,279087615560,279080812813
50,300394,天孚通信,253.58,276611427083,275993441465
51,603986,兆易创新,392.5,275434925845,262383084095
52,688802,沐曦股份-U,657.0,262865700000,12173286915
53,601919,中远海控,16.99,259405409175,213335563035
54,600150,中国船舶,34.11,256698942134,256698942134
55,601225,陕西煤业,26.35,255463250000,255463250000
56,688795,摩尔线程-U,526.62,247526259637,15917347544
57,688008,澜起科技,201.0,245328142221,230097668721
58,300476,胜宏科技,249.44,245145843755,215814227081
59,601816,京沪高铁,4.93,241203599294,241203599294
60,002379,宏桥控股,18.41,239902886099,20920640793
61,688836,宇树科技-W,591.53,239252791040,17797789012
62,002916,深南电路,348.03,237066410058,231379566795
63,000338,潍柴动力,27.03,233545163386,133971290437
64,300274,阳光电源,112.62,233485070571,178787254026
65,600309,万华化学,74.49,233188831421,233188831421
66,000651,格力电器,41.58,232906450711,229605153929
67,688808,联讯仪器,2259.0,231924000753,43589989296
68,002714,牧原股份,39.99,230862115799,131187167807
69,002463,沪电股份,119.22,229422620881,229242383966
70,000001,平安银行,11.73,227631420463,227628684944
71,688820,盛合晶微,121.61,226531957936,21026690415
72,002142,宁波银行,34.04,224786230560,224643039972
73,600919,江苏银行,12.16,223152105470,223152105470
74,300408,三环集团,108.69,217023341482,203229237726
75,600188,兖矿能源,21.6,216796003632,128765203632
76,000725,京东方Ａ,5.72,211893556526,202300007149
77,603288,海天味业,35.93,210228048431,199764355739
78,003816,中国广核,4.14,209065105969,162847698469
79,300433,蓝思科技,39.02,205976468747,193819718682
80,002938,鹏鼎控股,87.3,202320950243,201735132935
81,600690,海尔智家,21.15,198336867098,132251550893
82,688072,拓荆科技,675.06,196225754939,190834744681
83,601066,中信建投,25.27,196011677520,164145607054
84,300760,迈瑞医疗,161.05,195160298363,194977138452
85,601898,XD中煤能,14.59,193443899006,133527685836
86,688498,源杰科技,1540.01,191731825584,189255130681
87,603268,松发股份,187.3,190805683049,43687686042
88,601336,新华保险,60.98,190229951668,127170090953
89,600406,国电南瑞,23.42,188103729174,187551485714
90,601668,中国建筑,4.48,185115349189,185115349189
91,601985,中国核电,8.92,183466578500,168438901014
92,601818,光大银行,3.09,182574352778,143397060083
93,600025,华能水电,9.76,181839479948,181839479948
94,300604,长川科技,276.2,178309801983,135192010347
95,601766,中国中车,6.18,177358980064,150345791937
96,002352,顺丰控股,33.58,176809045259,161154290397
97,600031,三一重工,18.86,173417783682,159826996098
98,601688,华泰证券,19.14,172774172864,139851350149
99,301666,大普微-UW,391.0,170560596760,10367890113
100,600989,宝丰能源,23.11,169473949600,169473949600
