排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,688825,长鑫科技,59.12,4013307937432,266219663966,半导体,18839416914.0,35.76,719.1338353865,247.62,1688.29946417967,79.1575472751
2,601398,工商银行,7.82,2787096930436,2108367502055,银行Ⅱ,2780922569.0,2.2075,8.2698074013,869.41,3.309330291364,0.0
3,601939,建设银行,10.57,2765116032022,101404960895,银行Ⅱ,1368859884.0,2.4625,11.1464197401,862.91,3.527252222529,0.0
4,601288,农业银行,6.79,2376384799998,2167668191176,银行Ⅱ,2638457353.0,2.6475,10.4894093446,751.85,4.523779733356,0.0
5,600941,中国移动,98.04,2126214477521,88507361681,通信服务,564227414.0,5.6,-1.054491889,789.34,-6.293108565323,29.5120205935
6,601857,中国石油,11.08,2027872434223,1794096622223,炼化及贸易,1348517769.0,3.0,-2.2140451706,483.32,1.858798735511,22.924076194
7,601988,中国银行,6.14,1978384208538,1294100261154,银行Ⅱ,1570442821.0,2.115,8.4381764274,566.31,4.170038996395,0.0
8,300750,宁德时代,373.0,1725742284787,1589010220087,电池,8701494036.47,12.08,54.8003691485,432.84,41.983941749454,23.9283938867
9,600519,贵州茅台,1292.3,1615480452972,1615480452972,白酒Ⅱ,3203715661.0,16.75,1.3000994756,445.17,-1.951594855028,89.5552128279
10,600938,中国海油,33.82,1607463043739,101121800000,油气开采Ⅱ,1416283396.0,10.21,16.8837424377,858.18,23.420534134871,53.4636940575
11,601138,工业富联,63.86,1267243733256,1267243733256,消费电子,9431944409.0,13.36,54.634987688,237.4,95.985786599041,7.1506831245
12,601628,中国人寿,38.61,1091300260050,803996493300,保险Ⅱ,1271067994.0,21.07,81.5399084582,1344.89,228.574918765728,0.0
13,688981,中芯国际,126.33,1081518648277,252604736815,半导体,4313773127.0,0.9,8.0738981485,13.61,0.356465104757,21.4758595824
14,601088,中国神华,47.8,1036754959731,788271614249,煤炭开采,1033637331.0,2.4,1.1669181576,106.67,-10.728931291321,32.8891856187
15,300308,中际旭创,866.12,1013130567263,961339741341,通信设备,22780310823.67,37.62,182.4913813287,136.51,241.696005716117,46.2521843492
16,601318,中国平安,55.87,1011673958261,595577836187,保险Ⅱ,3606576460.0,9.0,15.010118462,925.85,36.060370038356,0.0
17,600036,招商银行,39.58,998201488888,816493620500,银行Ⅱ,2429800384.0,3.37,3.8077157288,378.52,1.517996030682,0.0
18,601899,紫金矿业,34.57,919241004483,712203988850,工业金属,7987376586.0,19.6,15.7816890732,391.7,68.170288138556,37.7472369593
19,002594,比亚迪,91.49,834132405222,318990269115,乘用车,1619597741.08,1.65,-11.8191365639,40.85,-55.384405326715,18.806213978
20,600900,长江电力,28.1,687556917820,687556917820,电力,2658024415.0,3.01,6.4427781703,67.61,30.50157685081,55.6463177522
21,688256,寒武纪,1048.0,659039000384,659039000384,半导体,9532759814.0,18.05,108.1331369113,23.11,122.613513635372,55.2505731603
