排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,11.3,81.16,,8.84,88.5,,55.55,2.26,46.09,6.9,27.99,58.62,56.059,,,-0.91,0.73,,111.63,6.9,58.62,半导体
2,601398,工商银行,75.4,87.06,99.67,94.34,74.69,92.17,8.1,-1.46,7.72,95.77,0.73,69.36,7.792,7.584,1.0,3.95,0.96,0.85,27.05,96.86,93.97,银行Ⅱ
3,601939,建设银行,74.91,91.07,102.46,98.33,84.25,104.26,10.95,-1.71,8.27,97.67,0.8,74.35,10.551,10.191,1.0,3.78,1.03,0.87,13.34,99.59,99.67,银行Ⅱ
4,601288,农业银行,61.98,89.69,57.26,96.08,81.96,38.97,6.89,-2.41,8.09,92.26,0.84,84.32,6.719,6.538,1.0,2.55,1.06,0.81,24.77,86.61,86.94,银行Ⅱ
5,600941,中国移动,100.69,106.77,99.09,104.63,99.81,65.84,100.53,-0.27,16.55,73.21,1.53,42.09,97.578,94.16,1.0,3.03,0.73,0.64,7.04,73.21,42.09,通信服务
6,601988,中国银行,81.87,97.34,102.86,99.62,98.72,103.35,6.54,-2.1,8.46,99.9,0.77,94.16,6.122,5.94,1.0,6.83,0.94,1.01,19.29,99.83,99.75,银行Ⅱ
7,601857,中国石油,50.44,101.91,45.83,66.04,110.09,41.68,11.21,-0.44,11.65,50.45,1.25,92.4,11.027,10.299,1.0,1.66,0.76,0.67,10.57,84.05,91.74,炼化及贸易
8,600519,贵州茅台,68.6,73.8,40.56,68.66,78.85,39.7,1298.88,0.11,19.94,6.41,6.46,3.09,1310.238,1269.11,1.0,-0.87,0.76,0.48,23.05,11.16,5.29,白酒Ⅱ
9,300750,宁德时代,-3.28,22.74,7.39,-4.49,59.32,24.09,349.5,0.35,19.02,10.35,4.26,13.25,381.052,382.792,0.0,-8.28,1.06,0.98,92.36,17.02,20.0,电池
10,600938,中国海油,38.16,102.2,30.9,58.98,116.07,28.65,33.43,-1.01,11.48,85.12,1.86,76.74,33.358,31.04,1.0,0.22,0.92,0.75,13.05,85.12,76.74,油气开采Ⅱ
11,601138,工业富联,58.28,63.17,36.93,53.84,56.81,37.74,63.2,2.27,26.73,86.81,7.14,91.5,64.171,64.924,0.0,-1.51,0.83,0.7,58.07,78.6,87.19,消费电子
12,601628,中国人寿,79.73,47.97,33.86,67.13,48.66,25.61,39.27,2.94,4.48,0.24,1.67,8.55,37.803,37.701,1.0,3.88,1.36,1.42,19.4,0.41,14.79,保险Ⅱ
13,688981,中芯国际,55.52,4.75,38.02,58.42,6.1,47.92,123.87,1.08,147.14,65.17,6.19,86.11,126.932,137.692,0.0,-2.41,0.72,0.42,27.47,62.98,87.36,半导体
14,601318,中国平安,93.37,106.91,32.69,94.3,99.74,18.17,58.0,2.42,6.59,0.76,1.02,33.02,54.127,52.464,1.0,7.16,1.61,1.46,63.1,1.07,57.44,保险Ⅱ
15,601088,中国神华,41.06,102.98,81.11,56.17,109.24,73.1,47.78,-0.56,19.2,97.86,2.3,99.1,46.304,43.724,1.0,3.19,0.72,0.72,10.51,96.28,98.43,煤炭开采
16,600036,招商银行,98.45,96.43,103.39,103.56,83.92,76.24,41.07,0.49,6.83,32.68,0.9,16.86,39.336,38.138,1.0,4.41,0.95,0.91,31.61,56.86,29.34,银行Ⅱ
17,300308,中际旭创,1.86,-1.19,22.14,6.21,6.66,35.52,813.0,-1.14,46.82,49.07,24.03,94.58,891.328,1047.201,0.0,-8.79,0.8,0.59,176.91,55.62,90.58,通信设备
18,601899,紫金矿业,21.36,94.4,36.32,22.21,107.97,28.84,33.31,1.09,13.09,8.79,4.39,82.19,33.607,30.484,1.0,-0.88,0.75,0.61,56.57,15.29,82.98,工业金属
19,002594,比亚迪,-9.25,42.01,32.28,-9.45,82.62,37.48,87.31,0.59,27.04,23.56,3.32,26.22,89.915,89.155,1.0,-2.9,0.6,0.61,17.8,40.99,0.99,乘用车
20,600900,长江电力,76.75,64.71,89.75,89.31,61.0,86.46,28.44,-0.97,19.22,52.3,3.22,85.75,28.175,27.635,1.0,0.94,0.72,0.68,21.12,23.97,75.29,电力
21,688256,寒武纪,96.93,11.57,40.23,100.11,0.43,48.54,1099.99,-0.72,207.6,78.43,51.03,88.58,1082.832,1238.378,0.0,1.58,0.66,0.5,71.67,73.47,85.95,半导体
22,000333,美的集团,73.31,81.24,95.55,76.98,76.7,93.01,87.25,0.31,15.0,55.3,3.14,51.78,85.375,82.143,1.0,2.2,0.77,0.56,13.02,85.04,87.77,白色家电
23,600028,中国石化,69.21,94.97,20.65,79.23,100.4,13.0,5.45,0.37,18.33,87.13,0.78,39.52,5.223,5.013,1.0,4.35,0.78,0.78,10.42,87.44,37.02,炼化及贸易
24,601658,邮储银行,87.34,71.98,88.83,101.09,52.83,63.66,5.45,-1.98,7.3,78.76,0.63,29.99,5.068,5.016,1.0,7.54,0.92,1.6,15.56,88.1,40.5,银行Ⅱ
25,601328,交通银行,74.59,90.17,100.49,95.03,86.48,86.39,7.32,-1.48,6.64,91.07,0.55,58.43,7.09,6.864,1.0,3.24,1.25,1.26,16.79,89.83,72.56,银行Ⅱ
26,601728,中国电信,60.6,90.83,68.12,53.84,95.08,58.54,6.4,-1.08,19.68,81.08,1.24,63.72,6.429,6.045,1.0,-0.45,0.75,0.52,4.24,81.07,63.55,通信服务
