排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,688825,长鑫科技,54.22,3680675851955,244154773008,半导体,9843600743.0,81.06,873.6417332025,776.05,3427.75691436574,84.7418874692
2,601398,工商银行,8.13,2897582870134,2191947287942,银行Ⅱ,1730279695.0,4.315,9.0769670235,1736.82,3.318798593719,0.0
3,601939,建设银行,10.93,2859292169347,104858677634,银行Ⅱ,1195500449.0,4.76,10.7174470481,1695.64,4.620054789111,0.0
4,601288,农业银行,6.9,2414882933724,2202785054361,银行Ⅱ,1695450994.0,5.07,11.0651273055,1463.81,4.925094975271,0.0
5,600941,中国移动,97.79,2121156793185,88281669714,通信服务,474157279.0,5.6,-1.054491889,789.34,-6.293108565323,29.5120205935
6,601988,中国银行,6.57,2116935545618,1384729432538,银行Ⅱ,1294905374.0,4.33,8.4801658344,1235.94,5.104982524173,0.0
7,601857,中国石油,11.11,2033363063558,1798954284558,炼化及贸易,968661479.0,6.3,5.3426812439,1039.34,22.029798875204,21.8708980937
8,600519,贵州茅台,1272.75,1591041357673,1591041357673,白酒Ⅱ,1756915149.0,16.75,1.3000994756,445.17,-1.951594855028,89.5552128279
9,600938,中国海油,33.45,1589876960765,100015500000,油气开采Ⅱ,1179786447.0,10.21,16.8837424377,858.18,23.420534134871,53.4636940575
10,300750,宁德时代,316.36,1463738147197,1347756080151,电池,15558754474.15,12.08,54.8003691485,432.84,41.983941749454,23.9283938867
11,601138,工业富联,60.8,1206520810867,1206520810867,消费电子,3769325545.0,13.36,54.634987688,237.4,95.985786599041,7.1506831245
12,601628,中国人寿,37.62,1063318202100,783381198600,保险Ⅱ,613694906.0,21.07,81.5399084582,1344.89,228.574918765728,0.0
13,600036,招商银行,41.1,1036535654201,847849616032,银行Ⅱ,2340692538.0,6.71,4.8314692679,764.45,2.021887094622,0.0
14,601088,中国神华,46.98,1018969623602,774748963126,煤炭开采,742764422.0,5.83,7.9322551775,287.15,4.103977087336,35.4841606017
15,300308,中际旭创,864.01,1017725708920,958996669962,通信设备,15613591729.56,37.62,182.4913813287,136.51,241.696005716117,46.2521843492
16,688981,中芯国际,114.86,983461710233,229788216388,半导体,2943318655.0,2.9,19.435688378,44.67,94.163023835373,23.1558234006
17,601318,中国平安,53.9,976001903531,574577507974,保险Ⅱ,2677888136.0,9.0,15.010118462,925.85,36.060370038356,0.0
18,601899,紫金矿业,31.68,842393839225,652664806675,工业金属,4146681642.0,19.6,15.7816890732,391.7,68.170288138556,37.7472369593
19,002594,比亚迪,84.3,768579754730,293959893265,乘用车,1643049338.77,4.86,-7.1281672659,123.25,-20.535238859941,18.8473478975
20,600900,长江电力,28.5,697344204906,697344204906,电力,1730569180.0,6.55,3.3562259885,147.56,13.015444431533,57.8922527476
21,688256,寒武纪,1075.79,676514853266,676514853266,半导体,11605192827.0,18.05,108.1331369113,23.11,122.613513635372,55.2505731603
22,601328,交通银行,7.56,668030208726,197107643142,银行Ⅱ,932039731.0,4.045,6.7295003299,478.74,4.037726008345,0.0
23,000333,美的集团,87.23,665507868154,600613677783,白色家电,1722618378.59,11.33,3.4561222865,264.46,1.661997971068,25.2557645483
24,601658,邮储银行,5.39,647312338322,390924845261,银行Ⅱ,814943372.0,4.8,7.2645809882,515.03,4.621353701146,0.0
25,600028,中国石化,5.29,639144450440,500689074939,炼化及贸易,1020394505.0,3.06,1.9523055217,256.27,19.289670902574,19.2430394532
26,601728,中国电信,6.28,574664831030,487514696230,通信服务,513180159.0,4.2,-3.8643498262,195.88,-14.898970046109,29.7628442917
27,300502,新易盛,397.01,553724645945,498137875193,通信设备,9727280046.98,34.86,100.3392340098,75.29,90.984424978074,48.4397325072
28,688041,海光信息,224.6,522046335239,522046335239,半导体,3355265540.0,7.56,66.5195709856,17.98,49.691219941746,55.2090490096
29,601998,中信银行,8.98,499693557131,366051733597,银行Ⅱ,422832674.0,4.805,3.0507963718,376.02,3.081309282307,0.0
30,603259,药明康德,156.67,474900479117,387488816141,医疗服务,4102403879.0,13.19,38.9349828598,110.8,29.427935686791,53.9094753581
31,002371,北方华创,638.16,463105819872,462720679463,半导体,4277067682.59,8.58,24.9038763685,33.7,5.051223129423,40.0682862059
32,688347,华虹宏力,214.6,413854982792,87503150000,半导体,3120769427.0,0.86,19.4147741706,3.99,436.692371841556,19.4457765387
33,600030,中信证券,26.35,411699572786,320852118165,证券Ⅱ,2196175723.0,7.81,50.0035284024,233.43,69.601525447949,0.0
34,002475,立讯精密,51.63,399506577790,378196579048,消费电子,4542031043.53,8.76,40.1605518581,78.43,18.036983291456,11.7785360877
35,688235,百济神州,253.56,391061830494,29173411726,化学制药,376924319.0,9.9,26.8363500983,32.71,627.147475232556,89.4529871532
36,601869,长飞光纤,462.0,382492159896,187728301068,通信设备,5397815433.0,19.22,53.637732146,29.25,888.878405244955,53.3612070059
37,601166,兴业银行,17.92,379238442473,379238442473,银行Ⅱ,1250219742.0,4.79,-0.2543953358,411.31,-4.659140956399,0.0
38,603993,洛阳钼业,17.64,377395631505,308009255985,工业金属,1836050653.0,18.29,42.7839090612,161.52,86.272667882062,23.0090744347
39,600183,生益科技,150.25,364957801418,362365265764,元件,12410853991.0,18.17,50.0454791459,32.87,130.423998654866,30.6922750301
40,601319,中国人保,7.73,341851447207,274397658387,保险Ⅱ,328184856.0,11.2,9.5986593172,367.45,38.503580851866,0.0
41,002384,东山精密,182.82,334854489000,253447337399,元件,8853900257.98,12.88,63.9481879305,29.57,290.089113632119,20.1513507952
42,688012,中微公司,330.6,316662680249,311490340763,半导体,4761883205.0,11.56,34.8886347323,28.25,300.216524117415,39.7417373409
43,601601,中国太保,32.63,313911741677,223353702677,保险Ⅱ,682653978.0,9.7,5.8056021068,307.75,10.36399497938,0.0
44,601211,国泰海通,17.5,307668514090,235359670420,证券Ⅱ,874198837.0,6.12,97.5628794336,202.6,28.736487658757,0.0
45,600000,浦发银行,9.18,305747595594,305747595594,银行Ⅱ,823773905.0,3.96,3.5534844687,309.51,4.082456199348,0.0
46,002415,海康威视,32.77,300332840694,296440490877,计算机设备,983832655.39,9.17,11.9673178084,78.96,39.565445501572,49.9672613158
47,300059,东方财富,18.17,287489371729,243339284914,证券Ⅱ,1552753369.53,8.46,53.220189051,80.64,44.848976215289,74.3927594104
48,600150,中国船舶,38.16,287177708350,287177708350,航海装备Ⅱ,4680545291.0,6.71,26.005331272,99.54,163.508688638198,17.3661199239
49,600276,恒瑞医药,43.13,286262430566,275126368078,化学制药,1625245775.0,8.04,-1.9390022608,44.65,0.344554541292,86.3263460861
50,300394,天孚通信,257.38,280756562436,280129316052,通信设备,8138165036.97,19.6,15.1492291388,12.04,33.922353315318,60.8695979509
51,000858,五 粮 液,69.7,270548077949,270541483353,白酒Ⅱ,674597141.2,7.14,20.87072874,87.53,89.29986131838,80.2949204402
52,002916,深南电路,389.72,265464245403,259089538854,元件,3000337593.27,12.43,46.3282888807,22.51,65.546280171141,31.0149106719
53,603986,兆易创新,363.11,255619064858,243544531717,半导体,10693625915.0,23.13,178.6722977786,68.57,1091.4990564908,63.1304509177
54,300408,三环集团,126.21,252005850846,235988242648,元件,5880459746.52,8.61,54.824030357,19.32,56.17646712233,44.3196613034
55,601225,陕西煤业,25.82,250324900000,250324900000,煤炭开采,698818470.0,10.9,1.1692536077,112.72,47.574576296288,33.3593436248
56,002714,牧原股份,42.37,244601846621,138994756188,养殖业,1728799392.84,-7.48,-22.3016379839,-60.78,-157.717224941595,-1.5756373647
57,601919,中远海控,15.98,243984604981,200653460701,航运港口,744433483.0,5.7,2.5870029553,134.19,-23.47827216587,18.3392709861
58,002463,沪电股份,125.82,242123420225,241933205424,元件,5230566469.42,17.38,61.1682833526,29.23,73.722061163793,38.7155693432
