排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
22,601328,交通银行,93.17,104.32,109.06,93.01,103.83,86.39,7.58,0.26,6.87,94.23,0.57,67.03,7.313,6.975,1.0,3.65,0.89,0.9,10.73,93.39,84.55,银行Ⅱ,三周期共振超买 / 高位+估值顶区
37,601869,长飞光纤,93.32,109.05,60.62,96.83,96.45,53.43,461.0,-0.22,110.87,89.4,23.32,98.49,414.132,394.379,1.0,11.32,0.84,0.9,60.55,82.64,97.52,通信设备,高位+估值顶区
39,600183,生益科技,85.15,99.62,66.08,70.68,79.06,60.65,154.48,2.82,72.24,97.49,20.28,99.24,142.161,140.002,1.0,8.67,0.97,0.87,98.72,95.62,98.68,元件,高位+估值顶区
54,300408,三环集团,98.72,84.87,54.97,89.23,59.8,54.03,129.88,2.91,78.27,97.78,11.45,98.86,115.005,121.966,0.0,12.93,0.83,0.83,60.83,96.12,98.02,元件,高位+估值顶区
83,600176,中国巨石,97.66,81.06,37.11,94.23,34.7,39.35,47.39,0.64,41.86,96.55,5.72,98.96,42.8,47.127,0.0,10.72,1.12,1.14,127.76,96.53,98.18,玻璃玻纤,高位+估值顶区
52,002916,深南电路,92.8,86.52,57.11,95.28,56.01,54.39,392.5,0.71,64.16,94.8,14.83,95.22,364.984,373.395,0.0,7.54,0.93,0.84,29.28,93.47,97.52,元件,高位+估值顶区
70,688498,源杰科技,91.31,94.94,75.26,81.93,71.25,62.9,1750.94,3.9,289.99,53.36,69.39,98.02,1604.455,1550.124,1.0,9.13,1.11,0.74,49.68,53.36,98.02,半导体,高位+估值顶区
58,002463,沪电股份,86.97,87.24,59.91,82.98,58.76,58.29,127.8,1.57,48.58,94.32,13.67,98.16,121.543,123.438,0.0,5.15,1.07,0.88,55.22,93.8,96.78,元件,高位+估值顶区
97,301377,鼎泰高科,95.9,44.8,41.76,72.66,27.84,47.48,408.88,1.61,181.93,86.53,55.51,94.83,397.99,433.123,0.0,2.74,1.29,0.81,11.44,86.53,94.83,通用设备,高位+估值顶区
77,688072,拓荆科技,98.76,24.43,51.92,65.06,1.29,58.02,679.54,4.71,91.28,42.44,15.61,88.25,652.667,696.774,0.0,4.12,1.77,1.31,47.3,42.44,88.25,半导体,高位+估值顶区
21,600900,长江电力,80.19,45.92,90.05,82.19,57.09,86.46,28.46,-0.14,19.24,52.55,3.22,85.86,28.242,27.909,1.0,0.77,0.65,0.61,16.37,24.05,75.37,电力,高位+估值顶区
111,600930,华电新能,100.62,19.44,-1.72,92.7,7.45,-0.89,3.98,0.51,34.14,78.75,1.5,6.97,3.939,4.259,0.0,1.04,1.31,1.23,,78.75,6.97,,高位+估值顶区
20,688256,寒武纪,80.49,32.43,43.12,42.16,10.05,48.54,1136.01,5.6,214.4,79.43,52.7,90.18,1059.159,1194.412,0.0,7.26,1.58,1.15,149.67,74.55,87.85,半导体,高位+估值顶区
