排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
103,601688,华泰证券,-11.34,6.11,7.56,-6.63,28.81,16.65,18.13,-1.89,7.97,0.05,0.92,25.91,19.069,19.467,0.0,-4.92,1.32,1.04,,0.08,45.29,,三周期共振超卖 / 估值+超卖双低
91,601336,新华保险,-0.76,4.82,4.76,-6.1,23.42,7.61,57.43,-0.05,4.05,0.05,1.45,39.34,59.745,60.278,0.0,-3.87,0.81,0.55,5.72,0.08,60.83,保险Ⅱ,三周期共振超卖 / 估值+超卖双低
33,600030,中信证券,-4.23,-6.31,59.66,-0.87,6.54,80.67,26.16,-1.1,10.31,0.05,1.38,36.78,27.337,27.886,0.0,-4.31,0.78,0.72,19.62,0.08,53.31,证券Ⅱ,估值+超卖双低
51,000858,五 粮 液,0.37,-2.71,3.89,-1.01,10.85,9.21,69.13,-0.19,20.51,21.32,2.26,0.19,70.887,72.559,0.0,-2.48,0.72,0.46,8.14,29.75,0.33,白酒Ⅱ,三周期共振超卖 / 估值+超卖双低
43,601601,中国太保,-12.48,59.16,15.45,-15.19,88.08,10.43,31.88,-0.44,5.44,1.28,0.96,11.68,32.557,31.049,1.0,-2.08,0.76,0.48,6.24,2.23,20.41,保险Ⅱ,估值+超卖双低 / 多头回踩MA20
10,300750,宁德时代,8.58,-5.31,-3.68,10.88,4.11,24.09,304.3,-0.39,16.57,3.68,3.71,2.64,349.953,371.948,0.0,-13.05,0.82,1.25,105.42,6.12,4.21,电池,三周期共振超卖 / 估值+超卖双低
50,300059,东方财富,2.62,-11.08,13.41,10.5,-5.15,25.81,18.09,-1.63,19.63,0.09,2.91,6.95,18.896,19.637,0.0,-4.27,0.96,0.68,23.91,0.17,12.15,证券Ⅱ,三周期共振超卖 / 估值+超卖双低
90,601066,中信建投,-2.0,-7.2,34.01,2.06,-2.86,54.75,23.19,-1.57,14.31,0.4,2.05,11.03,24.623,25.98,0.0,-5.82,0.93,0.59,2.68,0.08,6.45,证券Ⅱ,估值+超卖双低
38,603993,洛阳钼业,-0.15,7.76,0.78,12.24,39.22,11.57,17.35,-2.75,13.34,10.54,4.14,84.73,18.568,18.549,1.0,-6.56,1.26,0.86,32.75,18.43,81.16,工业金属,三周期共振超卖 / 估值+超卖双低
107,000776,广发证券,-7.35,8.93,41.43,-6.48,30.7,55.94,20.02,-1.43,8.3,0.05,1.13,40.52,21.206,21.443,0.0,-5.59,0.74,0.64,,0.08,57.11,,估值+超卖双低
17,601318,中国平安,-7.74,59.27,21.81,-8.81,89.07,18.17,53.35,-0.3,6.06,0.09,0.94,18.01,54.874,52.175,1.0,-2.78,0.76,0.57,21.0,0.17,31.49,保险Ⅱ,估值+超卖双低 / 多头回踩MA20
41,601319,中国人保,-5.9,71.0,29.35,-4.86,79.18,16.99,7.69,-0.39,5.98,0.11,1.0,26.12,7.613,7.269,1.0,1.01,0.9,0.66,3.96,0.17,41.07,保险Ⅱ,估值+超卖双低
109,601600,中国铝业,5.12,59.06,4.86,5.23,84.29,6.5,9.16,-1.61,8.99,3.03,1.86,67.33,9.581,9.156,1.0,-4.39,0.73,0.68,,5.29,51.07,,估值+超卖双低 / 多头回踩MA20
69,600309,万华化学,-3.83,41.49,10.55,-3.98,86.15,24.69,70.33,-0.64,13.37,25.72,1.94,5.48,74.643,72.645,1.0,-5.78,0.65,0.59,13.94,19.09,9.59,化学制品,估值+超卖双低
13,601628,中国人寿,-2.12,7.83,25.45,-1.65,28.09,25.61,37.15,-0.27,4.24,0.05,1.58,3.64,38.156,38.184,0.0,-2.64,0.72,0.49,5.61,0.08,6.36,保险Ⅱ,估值+超卖双低
25,600028,中国石化,-11.6,48.03,13.89,-9.83,94.59,13.0,5.14,-1.34,17.27,84.3,0.74,33.81,5.394,5.124,1.0,-4.71,0.94,0.81,9.57,82.4,33.06,炼化及贸易,多头回踩MA20
82,600690,海尔智家,-4.61,33.48,29.62,-1.23,64.09,27.77,20.7,-0.29,10.8,4.87,1.61,3.07,21.222,20.789,1.0,-2.46,0.88,0.68,4.68,7.11,5.37,白色家电,估值+超卖双低 / 多头回踩MA20
66,002379,宏桥控股,-4.78,15.11,2.84,0.16,54.48,5.45,17.15,-2.39,9.06,60.9,3.86,76.55,18.372,18.069,1.0,-6.65,0.68,0.41,3.66,84.13,60.99,工业金属,三周期共振超卖
