排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,66.94,15.94,36.22,4.71,1.27,14.25,74.08,1.45,47.16
2,588000,科创50ETF华夏,40.32,0.3,41.17,1.79,4.92,76.6,81.97,7.67,91.18
3,159915,创业板ETF易方达,90.25,8.83,32.37,3.56,1.31,43.66,53.92,5.75,67.84
4,512880,证券ETF国泰,64.39,61.35,36.67,1.11,0.45,15.33,10.03,1.31,21.84
5,588200,科创芯片ETF嘉实,39.82,-2.74,42.46,1.17,6.46,113.8,78.34,,
6,510500,中证500ETF南方,93.77,10.93,34.0,7.82,2.88,27.14,70.27,2.41,77.48
7,563360,A500ETF华泰柏瑞,80.74,13.84,33.45,1.3,1.49,16.17,71.4,,
8,588170,科创半导体ETF华夏,35.92,8.4,46.86,0.95,9.83,40.07,78.68,,
9,515880,通信ETF国泰,80.54,-0.25,30.39,0.64,0.47,47.57,89.96,,
10,159516,半导体设备ETF国泰,40.22,8.64,47.95,0.7,9.37,100.05,94.48,,
11,512100,中证1000ETF南方,108.36,14.82,21.43,3.04,3.3,30.71,66.39,2.34,41.2
12,512890,红利低波ETF华泰柏瑞,6.5,92.86,60.92,1.16,-1.36,7.74,68.7,0.85,57.04
13,159995,芯片ETF华夏,40.24,-3.64,35.64,1.17,6.85,,,,
14,159949,创业板50ETF华安,86.82,8.21,27.56,1.68,0.78,,,,
15,512170,医疗ETF华宝,107.22,109.49,37.94,0.34,1.8,28.24,24.7,3.42,10.84
16,512400,有色金属ETF南方,90.41,47.12,6.76,1.9,5.03,16.22,88.78,,
17,510050,上证50ETF华夏,19.36,65.22,36.14,3.03,1.58,11.5,77.59,1.24,53.84
18,510880,红利ETF华泰柏瑞,24.58,92.34,59.19,3.23,-0.22,8.45,71.42,0.83,59.28
19,159819,人工智能ETF易方达,68.97,12.1,46.54,1.85,1.65,50.85,75.11,,
20,512480,半导体ETF国联安,39.49,-5.64,36.89,1.03,6.3,84.51,79.83,,
21,159326,电网设备ETF华夏,103.86,8.41,24.87,1.69,2.37,12.66,86.7,,
22,510210,上证指数ETF富国,97.13,30.43,18.39,0.99,1.64,14.98,69.99,,
23,515450,红利低波50ETF南方,-2.15,87.05,63.75,1.4,-1.55,8.29,74.12,0.85,57.04
