排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.759,0.17,1195.86,1195.86,26.64,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(534.27亿)；沪深300ETF华夏(432.93亿)；沪深300ETF嘉实(316.82亿)；沪深300ETF天弘(89.75亿)
2,588000,科创50ETF华夏,1.835,-0.27,903.75,903.75,62.55,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(421.23亿)；科创50ETF工银(111.83亿)；科创50ETF广发(78.9亿)
3,159915,创业板ETF易方达,3.559,-0.75,652.7,652.7,58.64,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(113.72亿)；创业板ETF天弘(63.54亿)
4,512880,证券ETF国泰,1.099,0.27,637.98,637.98,15.06,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(396.21亿)；证券ETF天弘(120.76亿)；券商ETF银华(98.84亿)；证券ETF南方(81.8亿)
5,588200,科创芯片ETF嘉实,1.216,-0.08,521.35,521.35,33.01,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(74.98亿)
6,510500,中证500ETF南方,8.037,0.63,447.87,447.87,25.75,中证500指数,指数型-股票,中证500,中证500ETF嘉实(94.91亿)；中证500ETF华夏(86.15亿)
7,563360,A500ETF华泰柏瑞,1.318,0.08,438.05,438.05,45.07,中证A500指数,指数型-股票,中证A500,A500ETF南方(355.8亿)；A500ETF易方达(288.67亿)；中证A500ETF国泰(282.66亿)；A500ETF华夏(212.56亿)
8,159516,半导体设备ETF国泰,0.762,3.25,423.93,423.93,50.19,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(204.4亿)；半导体设备ETF广发(127.42亿)；半导体设备ETF华夏(87.4亿)
9,588170,科创半导体ETF华夏,1.049,3.35,404.61,404.61,76.24,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(112.0亿)
10,515880,通信ETF国泰,0.644,-2.42,396.66,396.66,39.28,中证全指通信设备指数,指数型-股票,通信,
11,512890,红利低波ETF华泰柏瑞,1.162,0.35,322.46,322.46,7.91,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(124.93亿)
12,159995,芯片ETF华夏,1.205,-0.58,280.78,280.78,8.22,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(68.08亿)
13,512100,中证1000ETF南方,3.129,0.58,280.27,280.27,46.12,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(118.63亿)；中证1000ETF广发(71.8亿)
14,512170,医疗ETF华宝,0.353,2.02,270.03,270.03,13.03,中证医疗指数,指数型-股票,医药,
15,512400,有色金属ETF南方,2.018,1.66,265.84,265.84,16.2,有色金属,指数型-股票,有色金属,
16,159949,创业板50ETF华安,1.659,-1.19,256.06,256.06,17.92,创业板50指数,指数型-股票,创业板,
17,159326,电网设备ETF华夏,1.706,0.47,215.98,215.98,7.2,中证电网设备主题指数,指数型-股票,其他,
18,510880,红利ETF华泰柏瑞,3.319,1.13,214.63,214.63,10.31,上证红利指数,指数型-股票,红利,
19,510050,上证50ETF华夏,3.075,0.29,212.01,212.01,9.87,上证50指数,指数型-股票,上证50,
20,159819,人工智能ETF易方达,1.814,-2.79,211.39,211.39,6.89,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(83.62亿)
