排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,8.7,19.06,29.46,-3.57,23.2,49.14,4.65,0.74,14.35,76.61,1.44,45.28
2,588000,科创50ETF华夏,8.21,0.01,36.1,-5.15,3.16,56.79,1.72,1.59,76.4,80.84,7.3,83.94
3,512880,证券ETF国泰,65.99,16.06,33.24,15.06,12.76,30.68,1.1,2.72,15.19,9.59,1.25,12.92
4,159915,创业板ETF易方达,-4.68,20.44,25.14,-6.4,26.91,50.07,3.43,0.32,38.53,32.4,5.51,63.24
5,588200,科创芯片ETF嘉实,9.42,6.08,40.85,-3.47,7.79,58.91,1.15,1.77,117.2,79.37,,
6,588170,科创半导体ETF华夏,8.05,16.36,49.92,-1.08,16.84,62.23,0.99,1.43,42.93,80.96,,
7,159516,半导体设备ETF国泰,11.69,15.89,50.16,-1.99,16.16,62.77,0.72,2.13,111.56,95.06,,
8,563360,A500ETF华泰柏瑞,9.75,21.63,27.68,-1.75,25.97,50.09,1.28,0.71,16.29,74.61,,
9,515880,通信ETF国泰,5.11,26.69,31.94,4.78,26.62,47.85,0.65,0.31,47.5,89.23,,
10,510500,中证500ETF南方,11.67,27.78,32.99,0.15,30.05,47.83,7.79,0.83,27.58,71.46,2.42,77.64
11,512890,红利低波ETF华泰柏瑞,106.7,93.45,76.27,104.53,84.6,46.65,1.19,0.42,7.98,73.19,0.87,62.0
12,159995,芯片ETF华夏,6.09,2.99,32.34,-3.73,4.99,53.97,1.13,1.07,,,,
13,512400,有色金属ETF南方,61.48,87.14,9.67,44.11,70.01,3.66,1.94,2.32,16.28,89.28,,
14,512170,医疗ETF华宝,30.52,87.69,44.89,15.85,98.57,20.43,0.35,0.86,29.33,29.43,3.56,15.36
15,159949,创业板50ETF华安,-5.87,19.56,19.97,-8.31,25.01,46.66,1.61,0.62,,,,
16,510050,上证50ETF华夏,32.12,42.85,32.3,1.95,44.28,37.31,3.01,0.94,11.67,80.85,1.24,55.16
17,159326,电网设备ETF华夏,22.95,28.03,24.69,9.78,22.05,39.81,1.68,0.72,12.66,86.79,,
18,159819,人工智能ETF易方达,0.89,1.44,31.79,-4.41,11.65,61.04,1.69,0.42,46.3,54.51,,
19,510880,红利ETF华泰柏瑞,93.87,114.22,84.28,89.28,113.02,52.15,3.44,0.91,8.82,80.66,0.86,62.68
20,515450,红利低波50ETF南方,106.57,75.19,72.53,103.48,68.68,66.16,1.42,0.35,8.49,79.0,0.87,62.0
21,512480,半导体ETF国联安,9.11,5.32,36.0,-2.2,6.85,56.06,1.02,1.19,87.78,82.65,,
22,512100,中证1000ETF南方,13.06,39.57,23.17,4.7,40.07,32.23,3.06,0.39,31.9,68.58,2.39,45.4
23,515180,红利ETF易方达,104.06,114.74,66.17,93.16,110.54,39.06,1.46,1.04,8.61,62.05,0.85,50.8
24,562500,机器人ETF华夏,6.08,11.59,10.11,-0.46,16.52,30.53,0.95,-0.21,51.7,47.09,,
25,515050,通信ETF华夏,7.95,23.49,36.36,4.97,24.85,52.09,1.01,0.4,47.74,90.93,,
26,510180,上证180ETF华安,20.22,40.15,26.42,-0.31,44.13,36.29,3.95,0.82,12.17,69.71,1.23,42.16
27,159530,机器人ETF易方达,4.69,10.84,7.5,-1.34,14.8,21.54,1.32,-0.45,,,,
28,159992,创新药ETF银华,4.97,71.93,65.21,-0.12,89.18,46.78,0.87,0.0,29.08,34.81,,
29,159781,科创创业ETF易方达,0.4,5.14,30.26,-6.72,10.32,55.73,1.07,1.13,42.09,59.22,,
30,159201,自由现金流ETF华夏,77.14,110.22,17.84,62.96,106.86,11.78,1.19,0.17,,,,
31,517520,黄金股ETF永赢,73.99,105.97,13.51,81.58,113.12,-6.0,2.22,0.14,21.26,49.81,,
32,510210,上证指数ETF富国,20.56,62.37,24.93,5.12,57.07,25.12,1.0,0.4,15.33,73.1,,
33,512010,医药ETF易方达,2.81,76.2,62.58,1.97,89.71,43.6,0.38,-0.78,23.55,4.55,,
34,159928,消费ETF汇添富,41.93,77.39,31.73,14.75,81.71,24.44,0.67,0.9,19.76,19.1,3.45,2.0
35,515220,煤炭ETF国泰,84.37,112.24,48.89,82.33,103.8,29.77,1.31,0.54,19.3,88.31,1.82,98.12
36,512070,证券保险ETF易方达,107.11,52.35,17.58,74.08,39.06,10.48,0.81,2.66,9.78,2.45,,
37,512690,酒ETF鹏华,-2.24,71.31,21.66,-3.09,80.05,20.54,0.42,-0.47,19.14,15.79,,
38,159870,化工ETF鹏华,22.88,48.28,15.2,-1.29,50.92,26.76,0.8,1.78,21.98,55.29,,
39,159206,卫星ETF永赢,-3.03,21.95,-0.63,-7.37,28.69,14.25,1.32,-0.45,,,,
40,513630,港股低波红利ETF摩根,98.19,89.12,41.8,101.13,85.16,29.03,1.6,0.06,,,,
41,512800,银行ETF华宝,103.46,92.61,85.56,95.0,80.94,55.3,0.83,1.1,6.91,80.54,0.69,44.0
42,512760,芯片ETF国泰,7.56,2.65,35.34,-3.64,4.87,56.85,1.08,1.31,86.42,69.79,,
43,159611,电力ETF广发,53.93,42.89,9.53,24.95,29.39,21.83,1.05,1.26,16.0,71.04,,
44,516650,有色金属ETF华夏,64.28,91.85,6.35,48.36,78.69,-0.24,1.9,2.26,19.81,26.44,,
45,159852,软件ETF嘉实,9.37,38.79,-4.51,0.84,57.61,-3.49,0.67,0.45,53.57,45.49,,
46,560860,工业有色ETF万家,46.82,72.86,12.76,17.74,53.2,13.51,1.65,3.07,60.36,27.44,,
