排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,510300,沪深300ETF华泰柏瑞,29.33,24.33,22.13,19.85,17.58,33.4,4.64,0.35,13.66,64.45,1.43,42.8,4.671,4.761,0,-0.66,0.8,0.64,26.57,,,沪深300
2,588000,科创50ETF华夏,5.1,-5.06,25.42,14.07,-3.85,40.23,1.67,-0.65,70.53,67.8,7.25,83.0,1.748,1.902,0,-4.46,0.7,0.54,39.19,,,科创板
3,159915,创业板ETF易方达,40.17,17.88,7.52,40.42,12.25,26.58,3.37,-0.18,38.39,32.4,5.36,60.72,3.477,3.698,0,-3.08,0.63,0.54,37.11,,,创业板
4,512880,证券ETF国泰,3.57,30.57,32.79,14.9,29.68,35.61,1.08,0.0,12.77,4.54,1.26,13.96,1.088,1.105,0,-0.28,0.68,0.67,12.7,,,证券
5,588200,科创芯片ETF嘉实,10.98,4.59,30.3,20.07,3.12,44.39,1.11,-0.98,95.72,72.41,,,1.169,1.283,0,-5.05,0.68,0.47,17.07,,,半导体
6,510500,中证500ETF南方,38.44,39.62,21.27,34.55,28.71,38.95,7.79,0.03,26.16,64.62,2.41,77.64,7.872,8.074,0,-1.04,0.6,0.61,20.38,,,中证500
7,515880,通信ETF国泰,78.0,49.67,26.64,61.67,32.89,35.35,0.68,1.34,44.57,87.25,,,0.668,0.715,0,1.8,1.01,0.72,28.83,,,通信
8,159516,半导体设备ETF国泰,19.26,8.52,36.87,18.79,7.17,50.49,0.67,0.0,96.58,91.16,,,0.716,0.765,0,-6.42,0.63,0.41,16.51,,,半导体
9,588170,科创半导体ETF华夏,10.32,7.43,36.72,14.41,6.86,51.21,0.91,-0.98,43.15,81.61,,,0.989,1.059,0,-7.99,0.72,0.44,29.45,,,半导体
10,563360,A500ETF华泰柏瑞,33.92,26.15,15.92,28.61,18.89,31.08,1.27,0.24,15.29,50.38,,,1.287,1.319,0,-1.01,0.91,0.83,36.23,,,中证A500
11,512890,红利低波ETF华泰柏瑞,78.85,105.03,100.06,68.33,99.65,77.3,1.21,0.25,7.96,72.84,0.87,61.56,1.186,1.154,1,2.02,0.79,0.77,7.07,,,红利
12,159995,芯片ETF华夏,17.92,2.23,21.96,22.92,-0.04,35.48,1.1,-0.54,,,,,1.153,1.289,0,-4.6,0.63,0.48,4.19,,,半导体
13,512400,XD有色金属ETF南方,43.27,89.5,14.47,20.53,86.27,10.61,1.85,1.59,15.42,81.01,,,1.837,1.785,1,0.71,0.94,0.74,8.53,,,有色金属
14,159949,创业板50ETF华安,44.36,15.87,2.76,43.71,10.57,19.97,1.58,-0.13,,,,,1.628,1.748,0,-3.01,0.72,0.6,11.86,,,创业板
15,512170,医疗ETF华宝,45.37,54.84,46.44,39.49,69.63,37.25,0.34,-0.29,27.55,21.57,3.47,12.28,0.345,0.328,1,-1.45,0.94,0.53,3.05,,,医药
16,510050,上证50ETF华夏,13.96,53.2,35.6,23.28,55.79,38.25,3.02,0.1,11.09,70.37,1.24,53.36,3.022,3.032,0,-0.07,0.45,0.37,5.86,,,上证50
17,159819,人工智能ETF易方达,28.71,4.5,25.02,44.36,2.09,39.9,1.72,-0.41,44.75,48.45,,,1.757,1.898,0,-2.11,0.76,0.49,2.5,,,人工智能
18,512100,中证1000ETF南方,51.83,61.35,27.95,52.22,43.78,30.91,3.1,-0.19,30.93,66.55,2.41,46.84,3.105,3.165,0,-0.16,0.69,0.5,20.72,,,中证1000
19,512480,半导体ETF国联安,9.25,3.63,24.34,17.16,2.56,39.38,0.98,-0.81,65.03,47.09,,,1.036,1.146,0,-5.41,0.73,0.58,9.02,,,半导体
20,515450,XD红利低波50ETF南方,76.05,66.36,74.94,59.64,72.26,66.82,1.41,0.64,8.49,78.52,0.87,61.56,1.394,1.377,1,1.15,1.15,0.8,1.71,,,红利
21,510880,红利ETF华泰柏瑞,55.97,101.32,98.34,19.41,100.59,85.58,3.5,1.57,8.83,80.95,0.86,62.72,3.408,3.238,1,2.7,0.71,0.6,3.97,,,红利
22,159326,电网设备ETF华夏,58.23,54.73,10.72,29.09,29.52,23.54,1.68,1.88,11.69,68.25,,,1.678,1.762,0,-0.12,1.41,0.79,5.36,,,其他
23,515180,红利ETF易方达,50.17,100.48,84.59,17.07,101.11,68.84,1.47,1.17,8.59,61.62,0.85,50.8,1.443,1.392,1,1.94,0.75,0.76,3.07,,,红利
24,515050,通信ETF华夏,75.97,42.24,32.52,63.78,25.84,40.4,1.05,0.77,44.54,86.31,,,1.037,1.115,0,1.25,0.95,0.77,9.08,,,通信
25,510180,上证180ETF华安,27.7,54.95,27.16,34.59,48.03,32.23,3.96,0.03,11.72,59.58,1.23,41.36,3.971,4.002,0,-0.28,0.87,0.88,0.57,,,上证180
26,562500,机器人ETF华夏,23.89,15.62,3.32,41.06,9.44,16.1,0.94,-0.95,44.75,21.71,,,0.965,1.02,0,-2.38,1.29,0.78,4.58,,,机器人
27,159992,创新药ETF银华,16.64,9.21,61.31,28.78,38.61,59.14,0.84,-1.41,26.82,25.1,,,0.875,0.852,1,-4.34,0.97,0.6,6.02,,,医药
28,159781,科创创业ETF易方达,24.42,-1.05,14.69,26.08,-2.11,31.63,1.04,-0.1,38.62,54.18,,,1.088,1.193,0,-3.95,0.72,0.58,2.94,,,科创板
29,159530,机器人ETF易方达,33.57,15.39,2.84,47.42,7.84,11.23,1.31,-0.68,,,,,1.341,1.421,0,-2.39,0.76,0.48,3.58,,,机器人
