排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.637,0.28,1096.6,1096.6,26.57,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(516.38亿)；沪深300ETF华夏(408.05亿)；沪深300ETF嘉实(304.51亿)；沪深300ETF天弘(82.34亿)
2,588000,科创50ETF华夏,1.671,-0.59,894.56,894.56,39.19,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(411.17亿)；科创50ETF工银(106.36亿)；科创50ETF广发(75.87亿)
3,159915,创业板ETF易方达,3.373,-0.09,650.7,650.7,37.11,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(113.89亿)；创业板ETF天弘(64.75亿)
4,512880,证券ETF国泰,1.085,0.0,607.17,607.17,12.7,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(373.66亿)；证券ETF天弘(117.32亿)；券商ETF银华(92.84亿)；证券ETF南方(81.47亿)
5,588200,科创芯片ETF嘉实,1.114,-0.62,480.12,480.12,17.07,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.22亿)
6,510500,中证500ETF南方,7.785,-0.04,430.62,430.62,20.38,中证500指数,指数型-股票,中证500,中证500ETF嘉实(88.21亿)；中证500ETF华夏(78.99亿)
7,515880,通信ETF国泰,0.677,0.89,414.44,414.44,28.83,中证全指通信设备指数,指数型-股票,通信,
8,159516,半导体设备ETF国泰,0.666,-0.6,410.58,410.58,16.51,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(199.72亿)；半导体设备ETF广发(125.87亿)；半导体设备ETF华夏(85.5亿)
9,588170,科创半导体ETF华夏,0.913,-0.65,402.88,402.88,29.45,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(108.36亿)
10,563360,A500ETF华泰柏瑞,1.274,0.24,394.23,394.23,36.23,中证A500指数,指数型-股票,中证A500,A500ETF南方(335.77亿)；A500ETF易方达(288.71亿)；中证A500ETF国泰(256.5亿)；A500ETF华夏(194.57亿)
11,512890,红利低波ETF华泰柏瑞,1.211,0.33,319.11,319.11,7.07,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(124.71亿)
12,159995,芯片ETF华夏,1.1,-0.54,271.27,271.27,4.19,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(64.67亿)
13,512400,XD有色金属ETF南方,1.853,1.76,265.92,265.92,8.53,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.579,-0.13,242.99,242.99,11.86,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.337,-1.17,241.83,241.83,3.05,中证医疗指数,指数型-股票,医药,
16,510050,上证50ETF华夏,3.021,0.13,212.04,212.04,5.86,上证50指数,指数型-股票,上证50,
17,159819,人工智能ETF易方达,1.72,-0.41,208.76,208.76,2.5,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(82.1亿)
18,512100,中证1000ETF南方,3.101,-0.16,203.9,203.9,20.72,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(79.61亿)；中证1000ETF广发(60.29亿)
19,512480,半导体ETF国联安,0.983,-0.51,198.63,198.63,9.02,中证全指半导体产品与设备指数,指数型-股票,半导体,
20,515450,XD红利低波50ETF南方,1.405,0.29,198.15,198.15,1.71,标普中国A股大盘红利低波50指数,指数型-股票,红利,
21,510880,红利ETF华泰柏瑞,3.498,1.51,194.91,194.91,3.97,上证红利指数,指数型-股票,红利,
22,159326,电网设备ETF华夏,1.676,1.88,193.8,193.8,5.36,中证电网设备主题指数,指数型-股票,其他,
23,515180,红利ETF易方达,1.471,1.17,186.36,186.36,3.07,中证红利指数,指数型-股票,红利,中证红利ETF招商(110.38亿)
24,515050,通信ETF华夏,1.052,0.96,181.65,181.65,9.08,中证5G通信主题指数,指数型-股票,通信,
25,510180,上证180ETF华安,3.964,0.13,175.25,175.25,0.57,上证180指数,指数型-股票,上证180,
26,562500,机器人ETF华夏,0.942,-0.95,173.4,173.4,4.58,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(58.97亿)
27,159992,创新药ETF银华,0.837,-1.41,169.11,169.11,6.02,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(111.83亿)
28,159781,科创创业ETF易方达,1.045,-0.1,166.46,166.46,2.94,中证科创创业50指数,指数型-股票,科创板,
29,159530,机器人ETF易方达,1.309,-0.68,164.52,164.52,3.58,国证机器人产业指数,指数型-股票,机器人,
30,159201,自由现金流ETF华夏,1.2,0.84,162.78,162.78,2.22,国证自由现金流指数,指数型-股票,货币市场,
31,159928,消费ETF汇添富,0.679,-0.59,156.88,156.88,2.85,中证主要消费指数,指数型-股票,消费,
32,512010,医药ETF易方达,0.374,-1.32,149.91,149.91,2.59,沪深300医药卫生指数,指数型-股票,医药,
33,510210,上证指数ETF富国,1.012,0.5,145.2,145.2,5.43,上证综合指数,指数型-股票,其他,
34,517520,黄金股ETF永赢,2.214,1.61,141.27,141.27,6.48,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(62.41亿)
35,159870,化工ETF鹏华,0.816,0.74,138.48,138.48,3.72,细分化工,指数型-股票,化工,
36,512690,酒ETF鹏华,0.426,-1.39,135.18,135.18,4.39,中证酒指数,指数型-股票,白酒,
37,512070,证券保险ETF易方达,0.802,0.12,133.38,133.38,3.51,沪深300非银行金融指数,指数型-股票,证券,
38,159206,卫星ETF永赢,1.349,-0.07,127.22,127.22,3.21,国证商用卫星通信产业指数,指数型-股票,通信,
39,513630,港股低波红利ETF摩根,1.603,0.0,120.42,120.42,1.78,标普港股通低波红利指数,指数型-股票,红利,
40,515220,煤炭ETF国泰,1.341,3.0,112.85,112.85,7.76,中证煤炭指数,指数型-股票,煤炭,
41,512760,芯片ETF国泰,1.043,-0.48,101.64,101.64,2.21,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,516650,有色金属ETF华夏,1.887,1.4,98.87,98.87,1.41,细分有色,指数型-股票,有色金属,
43,512800,银行ETF华宝,0.842,0.36,97.87,97.87,6.32,中证银行指数,指数型-股票,银行,
44,159611,电力ETF广发,1.054,1.05,97.13,97.13,3.88,中证全指电力公用事业指数,指数型-股票,电力,
45,159852,软件ETF嘉实,0.665,-1.04,93.22,93.22,3.06,中证软件服务指数,指数型-股票,计算机,
46,560860,工业有色ETF万家,1.65,1.91,88.63,88.63,3.55,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(69.21亿)
47,159869,游戏ETF华夏,1.117,-2.7,85.63,85.63,4.35,中证动漫游戏指数,指数型-股票,传媒,
48,512660,军工ETF国泰,1.18,1.55,76.65,76.65,5.49,中证军工指数,指数型-股票,军工,
49,159263,价值ETF易方达,1.17,0.6,74.76,74.76,3.78,国证价值100指数,指数型-股票,价值,
50,512710,军工龙头ETF富国,0.655,1.55,74.11,74.11,3.94,中证军工龙头指数,指数型-股票,军工,
51,159307,红利低波100ETF博时,1.032,-0.39,72.97,72.97,5.44,中证红利低波动100指数,指数型-股票,红利,红利低波ETF天弘(57.03亿)
52,159363,创业板人工智能ETF华宝,1.227,-0.65,72.79,72.79,7.09,创业板人工智能指数,指数型-股票,人工智能,
53,159755,电池ETF广发,0.892,0.0,69.2,69.2,2.31,国证新能源车电池指数,指数型-股票,新能源,
54,159259,成长ETF易方达,1.353,0.74,68.89,68.89,6.41,国证成长100指数,指数型-股票,成长,
55,563300,中证2000ETF华泰柏瑞,1.454,-0.41,68.28,68.28,4.42,中证2000指数,指数型-股票,中证2000,
56,159865,养殖ETF国泰,0.573,-0.17,67.03,67.03,1.92,中证畜牧养殖指数,指数型-股票,农业,
57,159851,金融科技ETF华宝,0.626,-1.26,64.38,64.38,1.85,中证金融科技主题指数,指数型-股票,其他,
58,588220,科创100ETF鹏华,1.724,-0.4,64.35,64.35,3.69,上证科创板100指数,指数型-股票,科创板,
59,516150,稀土ETF嘉实,1.69,0.3,64.04,64.04,0.81,中证稀土产业指数,指数型-股票,有色金属,
60,515980,人工智能ETF华富,1.01,-0.69,63.5,63.5,1.28,中证人工智能产业指数,指数型-股票,人工智能,
61,512950,央企改革ETF华夏,1.512,0.73,61.14,61.14,0.11,中证央企结构调整指数,指数型-股票,央企国企,
62,561980,半导体设备ETF招商,,,,,,,,,
63,159967,创业板成长ETF华夏,,,,,,,,,
