排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,93.92,75.45,2.21,475.2,0.72,16.43,,3.39,
2,00005,汇丰控股,97.84,103.66,98.71,168.2,2.25,17.55,,1.87,
3,03750,宁德时代,47.17,8.15,59.83,622.5,0.24,29.89,,6.59,
4,01398,工商银行,86.53,96.98,74.53,7.51,-1.7,6.44,,0.6,
5,00939,建设银行,92.51,89.2,78.46,9.21,-1.6,6.3,,0.6,
6,09988,阿里巴巴-W,51.46,72.88,8.33,117.0,4.65,19.12,,1.85,
7,01288,农业银行,86.59,86.54,64.03,6.31,-3.07,6.7,,0.69,
8,00857,中国石油股份,57.01,64.6,34.14,9.94,-2.07,10.25,,0.99,
9,00941,中国移动,83.17,74.55,44.58,83.65,-1.36,11.95,,1.1,
10,03988,中国银行,96.56,78.41,85.64,5.51,-0.54,6.47,,0.57,
11,03968,招商银行,93.94,100.29,47.73,50.9,-0.59,7.61,,1.0,
12,00883,中国海洋石油,57.94,56.22,20.49,23.82,-1.49,8.09,,1.19,
13,02318,中国平安,97.26,84.5,10.69,58.65,-0.09,7.16,,0.92,
14,01088,中国神华,42.5,53.7,33.61,43.46,-0.59,15.98,,1.68,
15,02899,紫金矿业,70.55,84.93,6.76,33.24,2.21,12.8,,3.96,
16,01211,比亚迪股份,83.87,99.65,42.81,94.15,-0.69,27.85,,3.27,
17,02628,中国人寿,108.32,43.1,30.51,29.2,1.04,5.11,,1.22,
18,01299,友邦保险,82.78,74.25,21.62,79.25,-0.5,16.9,,2.47,
19,00300,美的集团,93.56,109.95,72.59,99.35,0.46,15.29,,2.87,
20,01810,小米集团-W,56.37,80.06,14.57,28.78,-7.28,18.77,,2.48,
21,03328,交通银行,87.34,71.8,73.22,7.56,-1.43,6.19,,0.51,
22,09999,网易,94.74,58.02,49.67,207.8,0.58,17.41,,3.55,
23,01658,邮储银行,98.46,76.05,25.35,5.08,-0.59,6.19,,0.52,
24,03690,美团-W,87.41,111.45,52.21,92.5,-0.16,-12.84,,3.36,
25,02388,中银香港,97.6,99.65,81.56,52.2,-0.29,13.76,,1.54,
26,00981,中芯国际,2.64,-5.67,49.79,63.25,2.02,99.97,,2.98,
