排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,7.93,48.47,5.87,-4.09,58.18,2.21,447.2,1.08,15.25,,3.11,
2,03750,宁德时代,10.97,27.29,49.82,34.3,27.7,59.83,628.5,-3.38,30.18,,6.66,
3,00005,汇丰控股,56.18,60.93,91.51,71.63,69.67,98.71,161.2,-0.56,14.69,,2.04,
4,01398,工商银行,99.76,82.86,81.11,84.91,74.87,74.53,7.38,1.51,6.34,,0.59,
5,09988,阿里巴巴-W,45.28,100.79,27.28,43.38,95.03,8.33,124.2,-1.97,20.3,,1.96,
6,00939,建设银行,99.0,85.01,84.57,85.5,75.14,78.46,9.05,1.0,6.19,,0.59,
7,01288,农业银行,108.84,78.32,78.48,91.84,62.92,64.03,6.22,2.13,6.61,,0.68,
8,00857,中国石油股份,95.13,88.56,33.63,76.83,66.91,34.14,9.96,1.63,10.28,,0.99,
9,00941,中国移动,35.11,81.89,50.35,34.06,81.81,44.58,82.1,0.0,11.85,,1.06,
10,03988,中国银行,105.46,78.15,86.76,84.01,64.0,85.64,5.41,1.69,6.36,,0.56,
11,03968,招商银行,62.71,73.71,52.94,19.2,75.0,47.73,48.7,1.46,7.28,,0.96,
12,00883,中国海洋石油,91.98,103.07,23.79,91.87,81.29,20.49,24.46,0.16,8.31,,1.23,
13,02318,中国平安,10.61,63.07,4.43,-1.79,76.9,10.69,54.3,0.74,6.63,,0.85,
14,01088,中国神华,72.18,92.87,38.57,54.0,69.78,33.61,44.28,1.47,16.28,,1.71,
15,02899,紫金矿业,20.9,90.59,19.77,33.28,96.95,6.76,34.9,-1.69,13.44,,4.15,
16,01211,比亚迪股份,42.1,83.98,49.77,34.94,86.99,42.81,89.4,-0.67,26.45,,3.1,
17,02628,中国人寿,5.33,11.31,17.75,7.08,20.57,30.51,26.96,0.3,4.72,,1.12,
18,01299,友邦保险,51.97,30.55,6.18,36.93,29.43,21.62,73.0,0.62,15.57,,2.28,
19,00300,美的集团,50.6,94.15,86.7,26.65,94.46,72.59,96.9,0.68,14.92,,2.8,
20,01810,小米集团-W,68.3,59.56,25.04,24.48,55.79,14.57,27.44,4.81,18.9,,2.28,
21,03328,交通银行,100.91,78.58,77.69,77.84,63.58,73.22,7.42,1.09,6.07,,0.5,
22,00981,中芯国际,81.61,29.28,50.42,100.87,15.27,49.79,73.0,-3.76,76.95,,3.17,
23,09999,网易,10.39,34.37,45.43,4.75,42.88,49.67,194.4,0.31,16.29,,3.32,
24,02359,药明康德,85.9,100.91,97.57,91.69,101.23,90.73,202.0,-1.56,24.02,,6.24,
25,01658,邮储银行,81.76,62.32,35.91,43.42,51.02,25.35,4.91,1.76,5.98,,0.5,
26,03690,美团-W,4.86,85.75,63.26,-4.92,96.46,52.21,87.05,1.75,-12.08,,3.17,
27,02388,中银香港,67.5,85.24,83.91,64.22,88.32,81.56,50.2,0.4,13.23,,1.48,
28,00386,中国石油化工股份,81.14,85.74,7.57,51.12,78.53,3.72,4.36,1.16,12.91,,0.56,
29,00388,香港交易所,55.68,109.15,52.86,13.39,104.43,28.5,414.6,2.37,26.54,,8.67,
30,02888,渣打集团,44.47,82.26,96.39,82.37,87.61,96.49,233.6,-0.93,12.09,,1.41,
31,09633,农夫山泉,11.1,53.21,7.13,19.11,59.08,1.66,42.14,-0.05,26.98,,10.85,
32,02513,智谱,-2.09,1.17,23.24,21.19,6.25,38.69,1012.0,-2.97,-90.59,,-4.55,
33,02475,立讯精密,21.96,54.23,,53.67,64.48,,59.0,-4.22,23.75,,4.3,
34,00728,中国电信,72.81,83.9,22.88,65.06,62.22,17.04,4.72,1.18,12.19,,0.82,
35,00998,中信银行,100.65,92.49,45.53,85.0,79.76,35.36,7.67,2.2,5.35,,0.51,
36,06030,中信证券,5.11,1.68,37.78,17.04,21.34,42.72,26.14,-1.36,10.83,,1.17,
37,00992,联想集团,40.32,71.52,92.42,58.02,87.05,94.09,30.12,-3.89,59.84,,6.61,
38,01276,恒瑞医药,28.96,28.77,4.96,16.61,31.97,6.2,54.95,1.29,40.12,,5.06,
39,00267,中信股份,108.48,90.96,41.59,89.97,54.48,33.54,12.36,1.31,5.53,,0.42,
40,02259,紫金黄金国际,36.04,94.55,7.46,46.46,94.69,-4.64,133.3,-3.27,18.06,,4.87,
41,03993,洛阳钼业,-8.82,51.23,2.61,-2.85,60.58,4.68,16.5,-3.45,13.06,,3.51,
42,02328,中国财险,42.74,69.07,42.82,8.18,67.2,24.95,15.74,3.21,8.29,,1.05,
43,03986,兆易创新,47.53,-1.8,20.72,77.91,-4.27,40.94,496.8,-4.0,38.36,,8.12,
44,00016,新鸿基地产,97.85,58.44,38.65,64.51,44.37,41.26,120.2,2.47,15.83,,0.56,
45,06160,百济神州,96.71,106.38,80.1,86.67,99.27,31.63,223.6,1.27,67.3,,10.15,
46,06809,澜起科技,49.22,3.23,38.1,85.27,3.85,55.4,270.4,-7.02,115.17,,14.0,
47,02338,潍柴动力,6.19,32.6,49.16,38.93,45.41,61.07,32.2,-8.78,21.98,,2.6,
48,02601,中国太保,23.14,44.86,0.66,11.38,46.87,4.43,28.46,0.92,4.55,,0.76,
49,02378,保诚,72.75,40.85,31.7,58.24,47.46,37.63,109.1,-0.09,8.81,,1.78,
50,00001,长和,36.52,63.04,82.72,42.1,79.18,89.31,69.55,-1.21,7.05,,0.46,
51,01919,中远海控,115.88,112.58,91.09,108.0,104.41,59.13,17.0,1.8,9.22,,0.98,
52,02611,国泰海通,78.66,10.12,26.25,58.14,10.86,23.02,14.61,1.32,6.97,,0.68,
53,00669,创科实业,7.03,72.81,92.41,32.24,87.45,98.06,138.5,-1.98,24.86,,4.34,
54,01109,华润置地,68.02,80.36,49.04,72.91,59.77,40.61,34.16,-0.23,8.66,,0.76,
55,06951,三环集团,44.87,76.85,,74.7,89.55,,112.8,-9.69,70.0,,8.52,
56,01339,中国人民保险集团,9.91,54.0,1.11,0.03,65.44,-1.33,5.06,0.7,4.74,,0.62,
57,01378,中国宏桥,8.73,62.13,-6.45,17.25,54.39,-3.73,22.62,-1.48,8.86,,1.53,
58,02476,胜宏科技,23.54,23.78,6.66,63.31,24.25,,224.6,-6.96,42.16,,9.94,
59,00066,港铁公司,80.5,101.6,37.29,62.0,92.31,38.27,33.36,1.52,9.09,,1.02,
60,02020,安踏体育,39.79,50.18,37.58,7.9,54.52,39.92,73.65,2.15,13.69,,2.83,
61,09992,泡泡玛特,10.2,9.28,0.57,12.89,17.41,3.13,150.5,0.27,14.17,,8.19,
62,03692,翰森制药,27.67,68.29,12.26,32.32,74.14,1.77,32.98,0.3,32.52,,5.1,
63,06690,海尔智家,44.83,52.36,17.3,15.16,55.66,16.33,21.24,2.02,9.5,,1.4,
64,02269,药明生物,83.56,98.51,79.91,86.81,97.62,46.64,47.9,-1.4,36.54,,3.78,
65,00002,中电控股,83.27,103.61,96.83,87.89,110.38,91.25,78.35,0.13,18.26,,1.79,
66,01347,华虹宏力,6.19,-11.04,33.07,20.64,-8.26,59.63,113.7,-11.79,246.26,,3.53,
67,02714,牧原股份,84.36,103.91,15.7,93.26,97.31,4.24,34.1,-2.12,18.05,,2.01,
68,00175,吉利汽车,28.67,38.39,24.48,39.55,47.0,32.45,17.93,-1.81,10.19,,1.78,
69,03288,海天味业,31.98,76.05,35.36,31.52,81.16,37.23,31.96,-0.31,22.88,,3.93,
70,06818,中国光大银行,13.07,24.68,10.95,6.03,23.75,12.77,2.98,0.34,4.15,,0.31,
71,06936,顺丰控股,35.54,87.75,53.27,14.96,88.71,45.18,32.68,0.62,13.48,,1.45,
72,01801,信达生物,71.03,92.68,74.27,76.24,84.77,37.52,98.25,1.66,190.2,,7.95,
73,06031,三一重工,11.61,24.74,4.99,12.69,36.18,13.63,18.57,-1.75,18.08,,1.66,
74,00762,中国联通,5.28,10.54,0.43,6.91,26.08,7.31,5.5,-12.36,9.31,,0.39,
75,01024,快手-W,-2.09,5.45,-10.78,-0.02,21.42,-9.12,37.8,-4.01,9.18,,1.73,
76,01038,长江基建集团,103.3,107.64,73.66,101.42,105.89,60.57,64.8,0.39,6.49,,1.1,
77,00788,中国铁塔,15.78,52.77,6.37,26.19,71.58,8.6,9.21,-1.18,10.67,,0.68,
78,01113,长实集团,39.59,53.46,49.32,35.0,55.1,56.39,45.96,0.57,12.16,,0.4,
79,00027,银河娱乐,90.6,110.51,25.93,85.51,108.19,7.36,35.1,0.63,14.35,,1.82,
80,02423,贝壳-W,25.01,88.27,54.31,14.26,84.12,39.97,44.58,1.36,40.21,,2.16,
81,00688,中国海外发展,80.68,71.26,43.18,81.61,33.79,35.14,13.96,0.5,10.87,,0.36,
82,06886,华泰证券,92.55,46.92,22.5,106.24,46.24,16.93,16.87,-1.06,7.76,,0.75,
83,03606,福耀玻璃,71.82,93.59,41.79,52.76,85.28,22.69,58.3,2.73,15.83,,3.46,
84,01988,民生银行,56.48,65.24,24.58,18.97,70.84,20.17,3.42,1.63,4.53,,0.23,
85,01898,中煤能源,88.73,92.72,8.25,85.66,54.96,6.79,11.26,-0.18,9.27,,0.8,
86,01766,中国中车,82.6,78.65,28.28,31.68,58.13,15.83,5.14,2.49,9.31,,0.73,
87,09973,奇瑞汽车,24.56,55.41,19.82,29.76,60.28,26.18,25.38,-0.94,7.11,,2.36,
88,01377,鼎泰高科,2.98,46.92,,23.21,55.12,,337.2,-6.54,205.28,,42.07,
89,01972,太古地产,91.82,109.66,45.89,88.31,101.61,24.52,24.6,1.82,42.92,,0.52,
90,02600,中国铝业,9.98,50.34,-9.99,20.17,33.41,-6.11,8.21,-1.62,8.56,,1.54,
91,01816,中广核电力,15.24,54.08,-0.46,-3.06,54.52,6.23,2.78,0.18,13.19,,0.98,
92,01336,新华保险,0.88,23.72,-4.88,4.66,35.86,1.25,44.86,-0.49,3.4,,1.0,
93,00003,香港中华煤气,81.17,89.35,46.82,37.51,60.36,20.86,7.29,7.37,21.36,,2.26,
94,00012,恒基地产,81.28,80.39,13.08,35.77,62.79,11.26,27.8,2.28,23.81,,0.42,
95,02057,中通快递-W,21.54,33.2,41.36,26.99,52.67,62.44,176.0,-3.72,11.49,,1.85,
96,01776,广发证券,36.57,36.41,44.51,58.45,39.84,36.21,17.07,-1.95,7.63,,0.86,
97,00006,电能实业,113.85,112.5,53.15,109.9,101.53,47.97,60.85,0.33,7.25,,1.26,
98,06099,招商证券,2.9,1.63,39.83,10.24,1.57,47.35,14.73,-0.07,8.61,,0.91,
99,09987,百胜中国,2.16,86.34,32.61,-4.81,92.04,23.05,369.4,0.22,16.67,,3.03,
100,01171,兖矿能源,46.01,82.18,22.23,62.62,58.61,20.75,12.52,-0.95,11.53,,1.45,
