排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,451.4,0.94,41091.51,89.01,15.4,3.14
2,03750,宁德时代,629.0,0.08,29101.66,6.37,30.21,6.66
3,00005,汇丰控股,160.3,-0.56,27534.84,15.23,14.6,2.03
4,01398,工商银行,7.475,1.22,26641.37,10.98,6.41,0.6
5,09988,阿里巴巴-W,126.2,1.61,24198.84,116.76,20.63,1.99
6,00939,建设银行,9.2,1.66,24067.24,21.78,6.29,0.6
7,01288,农业银行,6.27,0.8,21943.94,5.89,6.66,0.69
8,00857,中国石油股份,10.03,0.65,18357.0,5.84,10.34,1.0
9,00941,中国移动,82.4,0.37,17870.26,11.64,11.89,1.07
10,03988,中国银行,5.44,0.55,17528.36,7.43,6.39,0.57
11,03968,招商银行,49.0,0.62,12357.72,4.23,7.32,0.96
12,00883,中国海洋石油,24.66,0.82,11720.89,12.94,8.38,1.24
13,02318,中国平安,54.1,-0.37,9796.23,18.26,6.61,0.85
14,02899,紫金矿业,36.76,5.33,9774.75,29.83,14.16,4.37
15,01088,中国神华,44.44,0.36,9638.78,4.06,16.34,1.72
16,01211,比亚迪股份,91.8,2.68,8369.59,13.52,27.16,3.19
17,02628,中国人寿,26.7,-0.96,7546.68,13.82,4.67,1.11
18,01299,友邦保险,72.75,-0.34,7527.18,20.05,12.08,2.36
19,00300,美的集团,97.25,0.36,7419.01,2.93,14.97,2.81
20,01810,小米集团-W,27.76,1.17,7150.57,50.29,19.12,2.31
21,03328,交通银行,7.48,0.74,6609.61,1.57,6.12,0.5
22,09999,网易,193.4,-0.51,6205.74,14.76,16.2,3.23
23,00981,中芯国际,72.1,-1.23,6172.52,41.9,76.0,3.13
24,02359,药明康德,206.6,2.28,6122.81,21.22,24.57,6.38
25,01658,邮储银行,4.905,0.0,5890.66,1.23,5.98,0.5
26,02388,中银香港,50.15,-0.1,5302.25,3.75,13.22,1.48
27,03690,美团-W,85.85,-1.38,5301.65,24.91,-11.92,3.12
28,00388,香港交易所,417.8,0.77,5297.02,18.99,26.75,8.73
29,00386,中国石油化工股份,4.37,0.23,5284.44,3.0,12.94,0.56
30,02888,渣打集团,230.4,-1.37,5037.97,2.05,11.93,1.39
31,02513,智谱,1023.0,1.09,4763.32,33.06,-91.57,-4.6
32,09633,农夫山泉,42.24,0.24,4750.51,2.07,27.04,10.87
33,02475,立讯精密,59.3,0.51,4588.53,2.17,23.87,4.32
34,00998,中信银行,7.88,2.67,4384.84,2.35,5.49,0.52
35,00728,中国电信,4.73,0.11,4328.29,3.24,12.71,0.8
36,06030,中信证券,25.86,-1.07,4040.44,1.7,10.71,1.16
37,02259,紫金黄金国际,148.3,11.25,3969.01,30.98,20.09,5.42
38,00992,联想集团,29.72,-1.33,3686.66,31.75,59.04,6.52
39,00016,新鸿基地产,124.7,3.74,3613.53,11.95,16.42,0.58
40,00267,中信股份,12.42,0.49,3613.01,1.46,5.56,0.42
41,03993,洛阳钼业,16.72,1.33,3577.13,6.21,11.32,3.46
42,06160,百济神州,227.8,1.88,3513.33,16.64,68.57,10.34
43,02328,中国财险,15.53,-1.33,3454.3,2.69,8.18,1.04
44,03986,兆易创新,490.2,-1.33,3439.95,12.11,37.85,8.01
45,01276,恒瑞医药,49.66,-9.63,3296.03,14.31,37.46,4.44
46,06809,澜起科技,268.6,-0.67,3278.37,6.47,114.41,13.9
47,02338,潍柴动力,32.1,-0.31,2773.51,5.0,21.91,2.59
48,02601,中国太保,28.52,0.21,2743.72,1.56,4.56,0.76
49,02378,保诚,108.0,-1.01,2698.49,0.09,8.72,1.76
50,00001,长和,69.7,0.22,2669.54,3.07,7.06,0.46
51,01919,中远海控,17.03,0.18,2600.16,4.02,9.24,0.98
52,02611,国泰海通,14.75,0.96,2593.21,1.6,7.04,0.68
53,00669,创科实业,141.3,2.02,2582.57,9.21,25.36,4.42
54,01109,华润置地,35.24,3.16,2512.94,7.13,8.93,0.78
55,01339,中国人民保险集团,5.065,0.1,2239.95,1.23,4.74,0.62
56,02476,胜宏科技,226.8,0.98,2228.96,7.83,42.57,10.04
57,06951,三环集团,110.2,-2.3,2200.38,1.11,68.39,8.33
58,01378,中国宏桥,22.4,-0.97,2199.55,5.49,8.78,1.52
59,02020,安踏体育,74.9,1.7,2094.69,4.22,13.92,2.88
60,00066,港铁公司,33.44,0.24,2081.58,1.69,9.11,1.02
61,02269,药明生物,49.64,3.63,2057.57,35.24,37.86,3.92
62,02714,牧原股份,35.5,4.11,2049.41,1.34,18.8,2.1
63,09992,泡泡玛特,153.7,2.13,2046.94,16.67,13.71,7.71
64,03692,翰森制药,33.68,2.12,2042.41,6.57,33.21,5.21
65,00175,吉利汽车,18.54,3.4,1999.56,7.91,10.54,1.84
66,06690,海尔智家,21.26,0.09,1993.68,2.07,9.51,1.41
67,00002,中电控股,78.85,0.64,1992.11,2.71,18.38,1.8
68,01347,华虹宏力,111.9,-1.58,1944.52,35.19,242.36,3.47
69,03288,海天味业,32.2,0.75,1884.04,0.64,23.05,3.96
70,06818,中国光大银行,3.05,2.18,1802.11,0.38,4.24,0.32
