排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,455.2,1.65,41437.52,126.55,15.53,3.16,9.9663537853,0.0,0.0,0.0,0.0
2,03750,宁德时代,616.5,0.49,28523.33,10.19,29.61,6.53,12.0827161258,0.0,0.0,0.0,0.0
3,00005,汇丰控股,161.4,-0.25,27712.28,11.49,14.7,2.04,7.4073136207,0.0,0.0,0.0,0.0
4,01398,工商银行,7.445,-0.13,26534.45,10.04,6.39,0.59,2.0285709286,0.0,0.0,0.0,0.0
5,00939,建设银行,9.14,0.05,23910.27,19.46,6.25,0.6,2.3288161822,0.0,0.0,0.0,0.0
6,09988,阿里巴巴-W,113.9,-1.39,22649.0,83.18,26.65,1.8,0.9987987878,0.0,0.0,0.0,0.0
7,01288,农业银行,6.225,-0.24,21786.44,3.47,6.61,0.68,2.3014274605,0.0,0.0,0.0,0.0
8,00857,中国石油股份,10.19,2.21,18649.84,6.73,10.51,1.01,2.9822556621,0.0,0.0,0.0,0.0
9,03988,中国银行,5.58,1.36,17979.45,8.94,6.55,0.58,1.8364620954,0.0,0.0,0.0,0.0
10,00941,中国移动,79.4,-0.06,17219.65,9.17,11.46,1.03,5.4714246401999995,0.0,0.0,0.0,0.0
11,03968,招商银行,49.02,-1.01,12362.77,7.45,7.33,0.96,2.962707858,0.0,0.0,0.0,0.0
12,03308,中际旭创,1040.0,-0.57,12165.24,18.43,52.23,25.27,39.213740819499996,0.0,0.0,0.0,0.0
13,00883,中国海洋石油,25.44,1.27,12091.62,12.32,7.67,1.23,10.346972879299999,0.0,0.0,0.0,0.0
14,02318,中国平安,56.9,-0.52,10303.25,13.81,5.69,0.87,9.1284065146,0.0,0.0,0.0,0.0
15,02899,紫金矿业,38.28,1.65,10178.93,13.37,13.24,4.38,20.0147693811,0.0,0.0,0.0,0.0
16,01088,中国神华,45.82,0.22,9938.1,3.3,16.85,1.77,2.6503520051,0.0,0.0,0.0,0.0
17,01211,比亚迪股份,91.95,0.77,8383.26,10.06,27.2,3.19,1.6463612770999998,0.0,0.0,0.0,0.0
18,02628,中国人寿,29.42,0.34,8315.48,21.75,2.96,1.09,21.35749495,0.0,0.0,0.0,0.0
19,01299,友邦保险,75.5,1.14,7811.72,20.03,12.54,2.45,10.2330680139,0.0,0.0,0.0,0.0
20,00300,美的集团,98.75,-0.4,7533.44,2.32,15.2,2.85,5.5647634701,0.0,0.0,0.0,0.0
21,01810,小米集团-W,27.82,1.24,7166.18,23.83,19.16,2.31,5.2939105732,0.0,0.0,0.0,0.0
22,03328,交通银行,7.51,-0.4,6636.12,1.4,6.14,0.5,2.0439813024,0.0,0.0,0.0,0.0
23,09999,网易,192.2,-0.52,6167.24,10.12,16.68,3.21,10.7852666043,0.0,0.0,0.0,0.0
24,00981,中芯国际,70.15,-1.61,6005.58,27.11,73.95,3.05,2.904731861,0.0,0.0,0.0,0.0
25,01658,邮储银行,4.955,-0.3,5950.71,1.29,6.04,0.51,2.224889776,0.0,0.0,0.0,0.0
26,02359,药明康德,197.1,-0.95,5841.27,5.3,23.44,6.09,13.5914693084,0.0,0.0,0.0,0.0
27,00386,中国石油化工股份,4.765,1.82,5762.1,8.81,14.23,0.6,3.1847966031,0.0,0.0,0.0,0.0
28,02388,中银香港,50.95,2.27,5386.83,6.05,13.43,1.5,11.5084532818,0.0,0.0,0.0,0.0
29,00388,香港交易所,424.0,0.43,5375.63,17.73,27.15,8.86,17.7907965287,0.0,0.0,0.0,0.0
30,02513,智谱,1090.0,-6.03,5075.29,42.92,-97.57,-4.9,77.98409694440001,0.0,0.0,0.0,0.0
31,02888,渣打集团,230.4,-1.2,5033.71,1.04,11.92,1.39,6.6700750452,0.0,0.0,0.0,0.0
32,02475,立讯精密,63.55,-0.78,4917.38,2.81,24.44,4.34,8.785947626899999,0.0,0.0,0.0,0.0
33,09633,农夫山泉,43.5,1.3,4892.21,3.01,25.16,11.43,23.192367081500002,0.0,0.0,0.0,0.0
34,03690,美团-W,77.5,0.0,4785.99,25.9,-10.76,2.82,-4.5367050625,0.0,0.0,0.0,0.0
35,00998,中信银行,8.315,1.65,4626.9,2.79,5.68,0.54,4.4222819408,0.0,0.0,0.0,0.0
36,00728,中国电信,4.87,-0.41,4456.4,3.65,13.09,0.82,4.2002292243,0.0,0.0,0.0,0.0
37,02259,紫金黄金国际,161.2,3.4,4314.26,10.01,21.84,5.89,16.3776706455,0.0,0.0,0.0,0.0
38,06030,中信证券,27.44,-0.15,4287.3,2.46,9.51,1.2,6.958091817000001,0.0,0.0,0.0,0.0
39,03993,洛阳钼业,17.69,0.91,3784.65,5.31,11.97,3.67,18.7382109913,0.0,0.0,0.0,0.0
40,00267,中信股份,12.91,0.7,3755.55,1.55,5.39,0.41,4.2655899518,0.0,0.0,0.0,0.0
41,00992,联想集团,29.96,-2.47,3716.44,23.68,59.52,6.57,-8.1975118141,0.0,0.0,0.0,0.0
42,02328,中国财险,15.98,-0.87,3554.39,3.47,8.42,1.07,2.9797826357,0.0,0.0,0.0,0.0
43,00016,新鸿基地产,121.9,-1.3,3532.39,5.72,16.06,0.57,1.6533406048000001,0.0,0.0,0.0,0.0
44,06809,澜起科技,285.0,-5.38,3478.53,7.88,121.39,14.75,5.0185959632,0.0,0.0,0.0,0.0
45,06160,百济神州,224.4,-0.71,3460.89,5.69,67.54,8.53,9.7400031378,0.0,0.0,0.0,0.0
46,03986,兆易创新,486.0,-5.81,3421.3,11.3,37.65,7.95,24.3618478864,0.0,0.0,0.0,0.0
47,01276,恒瑞医药,47.94,-1.88,3181.87,2.05,36.16,4.29,7.102739472,0.0,0.0,0.0,0.0
48,02601,中国太保,30.16,1.0,2901.49,3.32,4.53,0.79,9.9060255352,0.0,0.0,0.0,0.0
49,02338,潍柴动力,32.76,3.67,2830.54,9.69,19.15,2.56,8.1369210579,0.0,0.0,0.0,0.0
50,02611,国泰海通,15.69,-0.19,2758.47,2.15,7.48,0.73,5.7601224553999995,0.0,0.0,0.0,0.0
51,02378,保诚,107.8,-1.1,2691.45,0.34,9.49,1.74,4.7795591182,0.0,0.0,0.0,0.0
52,00001,长和,70.15,-0.14,2686.78,3.31,7.11,0.46,4.6967757312,0.0,0.0,0.0,0.0
53,01919,中远海控,17.2,-2.22,2626.12,6.38,9.33,0.99,2.5117545399,0.0,0.0,0.0,0.0
54,00669,创科实业,135.2,-2.52,2470.93,10.27,24.27,4.23,10.251683098300001,0.0,0.0,0.0,0.0
55,01339,中国人民保险集团,5.4,0.65,2388.1,1.22,5.06,0.66,2.8054562208,0.0,0.0,0.0,0.0
