排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,00700,腾讯控股,17.04,11.29,3.14,-5.33,31.42,7.85,428.4,0.66,14.61,,2.98,,442.25,451.007,0.0,-3.13,0.92,0.69,66.75,,,
2,00005,汇丰控股,56.13,65.37,88.69,74.74,73.8,91.26,163.3,-0.85,14.86,,2.07,,163.025,158.86,1.0,0.17,0.72,0.84,15.87,,,
3,01398,工商银行,50.54,97.65,93.97,48.96,101.16,89.58,7.61,0.0,6.4,,0.59,,7.509,7.151,1.0,1.35,0.98,0.94,11.58,,,
4,00939,建设银行,74.15,105.16,100.85,75.04,105.73,96.68,9.75,-0.15,6.49,,0.62,,9.376,8.821,1.0,3.99,1.1,1.18,24.9,,,
5,03750,宁德时代,18.35,3.42,23.63,25.77,15.15,43.13,547.5,-2.49,26.29,,5.8,,601.175,632.05,0.0,-8.93,1.05,1.27,13.5,,,
6,01288,农业银行,21.62,90.48,89.99,22.82,98.97,85.23,6.36,-0.39,6.58,,0.68,,6.304,5.928,1.0,0.81,0.95,0.95,4.97,,,
7,09988,阿里巴巴-W,33.69,21.54,17.78,26.42,59.51,18.19,107.5,0.56,25.16,,1.7,,114.52,111.998,1.0,-6.13,0.93,0.59,59.82,,,
8,03988,中国银行,62.86,104.6,100.44,61.96,105.99,98.64,6.04,1.26,6.9,,0.62,,5.715,5.366,1.0,5.77,1.66,1.66,17.71,,,
9,00857,中国石油股份,18.47,84.18,37.04,50.1,104.97,37.29,9.98,-1.09,9.11,,0.97,,10.062,9.628,1.0,-0.81,1.22,1.27,9.96,,,
10,00941,中国移动,22.92,14.83,25.3,13.64,46.25,32.83,78.9,0.06,11.39,,1.02,,80.255,80.247,1.0,-1.69,0.69,0.65,6.76,,,
11,03308,中际旭创,81.56,51.79,,76.11,30.59,,1170.0,4.37,59.17,,28.43,,1092.1,,,7.13,1.51,1.54,37.87,,,
12,03968,招商银行,49.21,94.63,88.2,66.99,99.31,69.84,51.95,-0.38,7.61,,0.99,,50.449,48.375,1.0,2.98,0.88,0.95,5.91,,,
13,00883,中国海洋石油,10.82,85.3,29.42,47.09,112.17,29.7,24.38,-2.56,7.35,,1.18,,24.989,23.445,1.0,-2.44,1.2,1.5,21.55,,,
14,01088,中国神华,79.45,102.42,60.59,84.35,106.18,52.74,46.12,-0.77,16.04,,1.89,,45.321,43.302,1.0,1.76,1.3,1.67,6.81,,,
15,02318,中国平安,-1.57,45.67,5.51,-1.06,84.59,11.51,54.0,-1.55,5.4,,0.83,,55.835,55.272,1.0,-3.29,1.38,1.33,25.77,,,
16,02899,紫金矿业,48.7,68.23,30.7,90.58,90.88,26.33,34.82,-6.75,12.04,,3.98,,36.778,33.406,1.0,-5.32,2.74,1.73,33.19,,,
17,02628,中国人寿,10.65,81.3,39.78,21.37,90.53,39.01,29.6,-1.79,2.98,,1.09,,29.099,28.508,1.0,1.72,0.67,0.59,9.09,,,
18,01299,友邦保险,17.75,62.42,12.64,34.01,73.16,17.12,75.05,-0.33,12.47,,2.43,,75.222,74.918,1.0,-0.23,1.05,0.75,17.27,,,
19,00300,美的集团,33.26,90.48,99.28,27.98,100.3,95.76,99.2,-0.1,14.96,,3.08,,98.728,93.822,1.0,0.48,0.88,0.9,3.83,,,
20,01211,比亚迪股份,3.31,16.33,32.47,-6.23,53.45,45.7,79.85,0.38,21.86,,2.63,,87.935,86.665,1.0,-9.19,1.01,1.18,16.91,,,
21,03328,交通银行,98.91,111.25,109.79,86.26,103.72,97.4,8.09,0.37,6.47,,0.53,,7.703,7.32,1.0,5.02,2.18,2.8,6.55,,,
