排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,438.8,1.9,39909.23,95.78,14.95,3.05,9.9663537853,0.0,0.0,0.0,0.0
2,00005,汇丰控股,159.6,-3.21,27386.57,23.57,14.52,2.02,7.4073136207,0.0,0.0,0.0,0.0
3,01398,工商银行,7.49,-2.09,26694.83,8.25,6.3,0.59,4.052663012,0.0,0.0,0.0,0.0
4,00939,建设银行,9.61,-2.83,25139.8,15.33,6.4,0.61,4.5376835479,0.0,0.0,0.0,0.0
5,03750,宁德时代,516.0,-6.01,23874.35,30.09,24.78,5.47,12.0827161258,0.0,0.0,0.0,0.0
6,01288,农业银行,6.31,-1.64,22083.93,5.31,6.54,0.67,4.4593032714000005,0.0,0.0,0.0,0.0
7,09988,阿里巴巴-W,107.2,1.23,21316.71,50.68,25.09,1.69,0.9987987878,0.0,0.0,0.0,0.0
8,03988,中国银行,5.955,-2.14,19187.75,6.94,6.79,0.61,4.0097334841,0.0,0.0,0.0,0.0
9,00857,中国石油股份,9.975,0.55,18256.34,6.02,9.11,0.97,6.3861639668,0.0,0.0,0.0,0.0
10,00941,中国移动,79.05,-0.19,17146.69,6.33,11.41,1.02,5.4714246402,0.0,0.0,0.0,0.0
11,03968,招商银行,51.2,-2.94,12912.56,6.16,7.5,0.98,5.8401593944,0.0,0.0,0.0,0.0
12,03308,中际旭创,1085.0,1.4,12780.32,10.5,54.87,26.37,39.2137408195,0.0,0.0,0.0,0.0
13,00883,中国海洋石油,24.48,0.08,11635.33,12.8,7.38,1.18,10.3469728793,0.0,0.0,0.0,0.0
14,01088,中国神华,45.48,0.09,9864.35,2.82,15.82,1.87,6.342903654400001,0.0,0.0,0.0,0.0
15,02318,中国平安,53.05,-1.03,9606.1,16.01,5.3,0.81,9.1284065146,0.0,0.0,0.0,0.0
16,02899,紫金矿业,33.3,-3.81,8854.71,15.3,11.52,3.81,20.0147693811,0.0,0.0,0.0,0.0
17,02628,中国人寿,28.96,-2.82,8185.46,11.01,2.92,1.07,21.35749495,0.0,0.0,0.0,0.0
18,01299,友邦保险,76.05,0.8,7868.62,20.33,12.63,2.47,10.2330680139,0.0,0.0,0.0,0.0
19,00300,美的集团,99.7,-0.3,7606.46,5.06,15.04,3.1,12.1289184915,0.0,0.0,0.0,0.0
20,01211,比亚迪股份,79.05,-1.43,7207.14,10.23,21.65,2.61,4.861201831100001,0.0,0.0,0.0,0.0
21,03328,交通银行,8.025,-1.65,7091.19,2.18,6.42,0.53,3.737201525,0.0,0.0,0.0,0.0
22,01810,小米集团-W,26.5,-2.43,6826.23,20.75,18.25,2.2,5.2939105732,0.0,0.0,0.0,0.0
23,01658,邮储银行,5.33,-1.02,6401.07,1.48,6.27,0.53,4.3711714694,0.0,0.0,0.0,0.0
24,09999,网易,187.1,2.75,6003.59,11.37,16.24,3.12,10.7852666043,0.0,0.0,0.0,0.0
25,02359,药明康德,194.0,-1.97,5841.47,5.31,23.44,5.99,13.5914693084,0.0,0.0,0.0,0.0
26,00386,中国石油化工股份,4.63,-2.42,5594.02,6.0,13.81,0.58,3.1847966031,0.0,0.0,0.0,0.0
